Sliced MOF 1 PBS Ar 300 700 nm 400us Delta OD 10 disparos

Labels,0.000 us,50.000 us,100.000 us,150.000 us,200.000 us,250.000 us,300.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,

300.00,3.51247634E-3,1.93371600E-3,1.27802941E-3,9.51775291E-4,1.42797362E-3,8.07790202E-4,4.55087138E-4,
310.00,6.46355189E-3,4.79739765E-3,4.00958816E-3,2.98873987E-3,2.61211558E-3,2.28763255E-3,1.68653112E-3,
320.00,1.02287000E-2,7.87640363E-3,6.31940132E-3,5.04435599E-3,4.33320040E-3,3.41429515E-3,2.45049200E-3,
330.00,1.34181427E-2,1.05655147E-2,8.35479703E-3,6.60482422E-3,5.44391805E-3,4.62800916E-3,3.94690409E-3,
340.00,1.41936084E-2,1.13754859E-2,9.46340058E-3,7.53087923E-3,6.35362323E-3,5.52919181E-3,4.70502907E-3,
350.00,1.13396766E-2,9.45685059E-3,7.58921821E-3,6.08002767E-3,4.79310378E-3,4.55421349E-3,3.94299394E-3,
360.00,7.55765010E-3,5.80663932E-3,4.97322623E-3,4.38260054E-3,3.42602585E-3,3.40590440E-3,3.00422986E-3,
370.00,5.92031423E-3,4.34090709E-3,3.97704635E-3,3.44184483E-3,2.86214543E-3,2.82257283E-3,2.19017453E-3,
380.00,2.39331718E-3,1.76724279E-3,1.26187794E-3,1.06717285E-3,9.71483125E-4,8.86293768E-4,1.15163415E-3,
390.00,-1.58286691E-2,-1.26926973E-2,-1.04583278E-2,-8.18483718E-3,-6.72591478E-3,-5.09104785E-3,-3.95720638E-3,
400.00,-4.90625687E-2,-3.97894643E-2,-3.26457582E-2,-2.66400427E-2,-2.18961798E-2,-1.75089091E-2,-1.42689608E-2,
410.00,-8.76994208E-2,-7.08450899E-2,-5.83039783E-2,-4.75603528E-2,-3.96433361E-2,-3.41459140E-2,-2.55264435E-2,
420.00,-2.64400449E-2,-1.83587670E-2,-1.28780380E-2,-9.37535428E-3,-5.49774338E-3,-3.81680066E-3,-2.83126230E-3,
430.00,4.04531471E-2,3.40557322E-2,2.88273282E-2,2.42833048E-2,2.07445044E-2,1.79881211E-2,1.56303365E-2,
440.00,2.25380231E-2,1.69379972E-2,1.25322863E-2,8.94546695E-3,6.43989490E-3,4.32773912E-3,2.87439092E-3,
450.00,1.86659601E-2,1.37494542E-2,1.03988042E-2,8.06452893E-3,6.20467588E-3,4.78754565E-3,4.09036316E-3,
460.00,2.04295497E-2,1.54870106E-2,1.16933435E-2,9.14686546E-3,6.89319149E-3,5.81377978E-3,4.76857042E-3,
470.00,1.81302559E-2,1.44054675E-2,1.13730291E-2,9.05565359E-3,7.46970763E-3,6.15968648E-3,5.06317709E-3,
480.00,1.68055762E-2,1.39381336E-2,1.10843647E-2,8.97013862E-3,7.13309785E-3,5.58467675E-3,4.75368928E-3,
