Sliced MOF 1 PBS Ar 300 700 nm 400us Delta OD 10 disparos

Labels,0.000 us,50.000 us,100.000 us,150.000 us,200.000 us,250.000 us,300.000 us,
490.00,1.33779114E-2,1.19839385E-2,9.71600227E-3,7.76557904E-3,6.03195373E-3,4.71251598E-3,4.05682018E-3,
500.00,9.85832233E-3,9.01224092E-3,7.20564742E-3,5.62892016E-3,4.60113492E-3,3.69363022E-3,2.89701042E-3,
510.00,6.49429485E-3,6.57259347E-3,5.14186686E-3,4.27636085E-3,3.59266018E-3,2.77522556E-3,2.61290581E-3,
520.00,3.80440592E-3,3.32946656E-3,2.63977237E-3,2.04238878E-3,1.66507147E-3,1.12123531E-3,9.23132815E-4,
530.00,3.72758252E-3,3.30109405E-3,2.65357131E-3,2.13263906E-3,1.62500213E-3,1.31947454E-3,1.11499534E-3,
540.00,3.43557214E-3,2.72487989E-3,2.52981461E-3,1.69275072E-3,1.76884211E-3,1.35362509E-3,1.25700806E-3,
550.00,2.36061239E-3,2.34186207E-3,2.12271721E-3,1.35944644E-3,1.26903132E-3,9.74511553E-4,9.97193391E-4,
560.00,1.68325915E-3,1.38510449E-3,1.34888117E-3,1.22409663E-3,9.39381134E-4,6.74003910E-4,7.20684999E-4,
570.00,7.40526128E-4,9.85989114E-4,9.03120614E-4,5.21018635E-4,7.67026155E-4,3.09154973E-4,-6.85551495E-5,
580.00,9.18525795E-4,9.82793630E-4,6.99946017E-4,4.45624959E-4,-1.28230444E-4,-9.95337687E-5,1.34141723E-4,
590.00,2.14787619E-3,2.14067008E-3,1.30460190E-3,1.10792730E-3,8.12001992E-4,8.81114218E-4,6.83940481E-4,
600.00,2.35220371E-3,1.86528009E-3,1.42260524E-3,9.60342586E-4,9.11045936E-4,5.75834594E-4,5.37273241E-4,
610.00,2.73560453E-3,2.21200543E-3,2.03784229E-3,1.31609826E-3,1.13026891E-3,8.48074618E-4,5.79578802E-4,
620.00,3.06104496E-3,2.96668895E-3,2.41227145E-3,2.01652059E-3,1.64696749E-3,1.35897927E-3,9.02147964E-4,
630.00,2.22696294E-3,1.55036338E-3,1.49252324E-3,9.49703506E-4,8.41406349E-4,6.67886285E-4,7.86645978E-4,
640.00,1.63334177E-3,1.82361563E-3,1.44627853E-3,1.14609045E-3,9.86185856E-4,1.02766755E-3,1.42141245E-3,
650.00,1.21632440E-3,8.80864973E-4,7.29061780E-4,6.84483908E-4,7.68297003E-4,8.31713376E-4,1.08850945E-3,
660.00,1.43914146E-3,1.29336142E-3,1.46923994E-3,1.44533021E-3,1.14612619E-3,9.28023597E-4,5.81083703E-4,
670.00,2.70512188E-3,2.13508983E-3,1.80353073E-3,1.88817992E-3,1.17666717E-3,9.04788089E-4,7.94964319E-4,
680.00,2.24105082E-3,1.90283265E-3,1.32718659E-3,1.20153953E-3,1.35128305E-3,1.04430213E-3,1.24295522E-3,
690.00,1.83542748E-3,1.55803550E-3,8.33806524E-4,8.87623406E-4,6.14887336E-4,4.47078841E-4,6.58292789E-4,
700.00,1.45356113E-3,7.17486604E-4,1.00623327E-3,4.01067926E-4,4.03211743E-4,-2.10385318E-4,1.65489746E-6,
