Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

8000.00,-8.97824205E-3,
8040.00,8.13872367E-3,
8080.00,-8.87326524E-3,
8120.00,-1.65725090E-2,
8160.00,8.13877210E-3,
8200.00,2.92998576E-3,
8240.00,2.92719761E-3,
8280.00,1.60959386E-3,
8320.00,-2.32113968E-3,
8360.00,5.52598666E-3,
8400.00,-2.33608810E-3,
8440.00,3.13292549E-4,
8480.00,2.93095852E-3,
8520.00,-1.13706058E-2,
8560.00,-4.88093076E-3,
8600.00,8.05700757E-3,
8640.00,-7.60749867E-3,
8680.00,1.05990162E-2,
8720.00,4.24511079E-3,
8760.00,-4.90334537E-3,
8800.00,-2.26223865E-3,
8840.00,-2.23326497E-3,
8880.00,-4.94877668E-3,
8920.00,-6.16980297E-3,
8960.00,-7.63858343E-3,
9000.00,1.47035262E-2,
9040.00,5.48307924E-3,
9080.00,-1.52987596E-2,
9120.00,2.92998576E-3,
9160.00,5.51733188E-3,
9200.00,-1.13289366E-2,
9240.00,-1.27399489E-2,
9280.00,-4.90344269E-3,
9320.00,8.22297577E-3,
9360.00,1.61133092E-2,
9400.00,2.92998576E-3,
9440.00,1.34117818E-2,
9480.00,-9.58861667E-4,
9520.00,1.43843004E-2,
9560.00,9.38994810E-3,
9600.00,-6.22256007E-3,
9640.00,9.47167352E-3,
9680.00,-3.47857457E-3,
9720.00,-2.24773213E-3,
9760.00,3.27084010E-4,
9800.00,1.07184816E-2,
9840.00,-1.64582953E-2,
9880.00,1.48138329E-2,
9920.00,1.61262928E-3,
9960.00,5.52603463E-3,
1E04,-7.42492499E-3,
10040.000,3.20184627E-4,
10080.000,4.23526531E-3,
10120.000,-4.83621517E-3,
10160.000,6.80529559E-3,
1.02E04,1.63055758E-3,
10240.000,-1.15830954E-2,
10280.000,-2.24773260E-3,
10320.000,2.85352144E-4,
