Sliced MOF 2 PBS Ar 300 700 nm 400us Delta OD 5 disparos

Labels,0.000 us,50.000 us,100.000 us,150.000 us,200.000 us,250.000 us,300.000 us,
480.00,6.56767655E-3,4.74023912E-3,3.65238381E-3,2.34313845E-3,1.60532875E-3,9.43922496E-4,7.55428569E-4,
490.00,4.88067837E-3,3.89313581E-3,3.13415937E-3,1.96134555E-3,1.52802223E-3,9.99222975E-4,6.07858587E-4,
500.00,3.55445943E-3,2.93638697E-3,2.03707349E-3,1.12504361E-3,1.00978045E-3,2.94553494E-4,1.68856568E-4,
510.00,1.93435978E-3,1.97033701E-3,1.06454873E-3,6.30995724E-4,1.41046476E-4,2.43848393E-4,-3.94596136E-5,
520.00,1.87994761E-3,1.10920798E-3,8.17077816E-4,1.06516201E-3,5.41827583E-4,8.39530199E-4,3.76588112E-4,
530.00,7.54064124E-4,6.80535857E-4,3.63278785E-4,-4.59765579E-5,-7.45968646E-5,-3.41152117E-5,-5.17521694E-4,
540.00,7.27496867E-4,3.89606110E-4,1.73751658E-4,5.91239717E-4,-2.86373077E-4,-3.26352194E-4,-6.41765480E-4,
550.00,7.91027211E-4,6.80514204E-4,9.07209411E-4,5.55596082E-4,6.93402544E-5,2.15065695E-4,1.83919983E-4,
560.00,4.31032269E-4,3.66011169E-4,3.81285063E-4,2.47894524E-4,5.23883500E-4,3.51700874E-4,1.76333400E-4,
570.00,4.30212647E-4,4.78478090E-4,1.14690614E-4,-1.77364083E-4,-4.26370854E-4,-4.77914960E-4,-4.04631224E-4,
580.00,4.08551132E-4,-1.56900569E-6,2.21072143E-4,2.32013277E-4,-3.11363372E-4,-4.37340932E-4,-5.37618820E-4,
590.00,1.25054107E-3,1.31993694E-3,8.68094445E-4,4.60701471E-4,6.62951090E-4,-8.65824404E-5,4.17928211E-4,
600.00,8.18396686E-4,6.73396979E-4,3.74205090E-4,1.48338178E-4,2.62652262E-4,3.85919629E-5,3.76417127E-4,
610.00,1.24493719E-3,1.30592217E-3,1.02318905E-3,5.22751769E-4,3.77221761E-4,3.20757012E-4,5.60176792E-4,
620.00,1.10576977E-3,1.18022517E-3,5.67414856E-4,5.65993250E-4,3.98796372E-4,2.91479315E-4,-1.17174815E-4,
630.00,5.59415144E-4,2.00651411E-4,-3.01370077E-4,-5.28649718E-4,-2.95909907E-4,-3.50387039E-4,-1.43237703E-4,
640.00,3.52657808E-4,-2.65026232E-4,-4.63601842E-4,-6.09364593E-4,-5.00905269E-4,-7.12590874E-4,-8.39491666E-4,
650.00,2.67053692E-5,-2.67513620E-4,3.36359401E-4,-1.69139093E-4,-6.74082257E-4,-2.91365955E-4,-3.58994614E-4,
660.00,8.47846910E-4,2.42341877E-4,1.51155909E-4,3.16192221E-4,7.17362855E-4,-1.93229935E-4,-4.76780930E-4,
670.00,7.22729485E-4,1.13298534E-3,4.92130173E-4,3.70195885E-5,2.01367831E-4,2.36762353E-4,1.10297306E-5,
680.00,8.57407867E-4,6.33874675E-4,7.42693606E-4,5.98414685E-4,6.14111254E-4,3.52579547E-4,4.34166344E-4,
690.00,1.86684192E-3,1.85512635E-3,1.22712168E-3,1.03401835E-3,1.18555932E-3,1.29427144E-3,8.05893214E-4,
700.00,1.34565134E-3,8.80820677E-4,4.47495520E-4,3.48227622E-4,1.03226001E-3,1.05141092E-3,7.37014692E-4,
