MOF 1 PBS Ar 410 460 nm 400us Delta OD 10 disparos repetido

Labels,1 410.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 420.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 430.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),1 440.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 450.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 460.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,
Step,40.00,40.00,40.00,40.00,40.00,40.00,
Fixed/Offset, , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,
YAxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,

1600.00,-3.01199872E-2,-4.31543216E-3,-1.06187782E-3,3.46324383E-3,-2.80841510E-3,-1.50555035E-3,
1640.00,-7.03152642E-2,-9.68811102E-3,1.79874874E-3,-4.51176049E-4,1.88108301E-4,-4.85836586E-4,
1680.00,-5.27790049E-3,-1.79761648E-2,-1.94899761E-3,3.90253821E-3,5.40026522E-4,1.53195113E-4,
1720.00,-4.72095311E-2,9.41413827E-3,5.48496842E-4,4.19516989E-4,2.48044590E-3,5.36157051E-4,
1760.00,1.86483413E-2,-1.50653897E-2,-6.97296578E-4,6.36056648E-4,7.16454233E-4,-1.00047304E-3,
1800.00,4.88348603E-2,2.79626399E-2,5.49242308E-4,-1.97859155E-3,-1.63813340E-4,1.51976827E-4,
1840.00,-9.97053646E-3,2.19461117E-2,-1.41057908E-3,-2.19562068E-3,8.93092598E-4,-4.85028402E-4,
1880.00,-9.17588919E-2,-1.52085358E-2,5.48298296E-4,-2.63486034E-3,-1.65610967E-4,7.92014936E-4,
1920.00,3.94895300E-2,6.56888029E-3,7.27094361E-4,1.07102736E-3,-1.22103724E-3,-1.89441373E-3,
1960.00,2.55177058E-2,-1.26270689E-2,1.08446844E-3,-1.53908879E-3,5.40000270E-4,-1.02714832E-4,
2000.00,-7.36901909E-2,-1.49255451E-2,-1.63254619E-4,-8.87009548E-4,3.63849453E-4,-1.76747690E-3,
2040.00,5.55788241E-2,-4.33729775E-3,1.08434726E-3,6.34941098E-4,1.24535360E-3,-2.32527978E-4,
2080.00,-9.81765762E-2,1.49116842E-2,-5.21169393E-4,-8.91653646E-4,-5.17505163E-4,-6.16446370E-4,
2120.00,-4.66384256E-4,3.22360732E-2,-1.05728640E-3,-6.64978987E-4,-5.21045353E-4,-4.88240301E-4,
2160.00,3.38849332E-3,9.51640715E-4,2.69136159E-3,-3.28988861E-3,1.77363108E-3,2.48243177E-5,
2200.00,4.00132360E-3,8.86044092E-3,-1.41512800E-3,-2.64572795E-3,5.40052832E-4,-3.59038939E-4,
