MOF 1 PBS Ar 410 460 nm 400us Delta OD 10 disparos repetido

Labels,1 410.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 420.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 430.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),1 440.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 450.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 460.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,
Step,40.00,40.00,40.00,40.00,40.00,40.00,
Fixed/Offset, , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,
YAxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,

2.68E04,-3.09661981E-2,9.25099570E-3,9.05627734E-4,-6.73939358E-4,-1.64880519E-4,-1.51154865E-3,
26840.000,-2.93004513E-2,1.12434197E-3,1.44047732E-3,-1.53783662E-3,1.24683662E-3,-1.25446229E-3,
26880.000,4.62520234E-2,1.12439238E-3,1.79417804E-3,-8.88896815E-4,1.06449706E-5,9.19725047E-4,
26920.000,1.09328076E-1,-3.49626504E-2,1.91495390E-4,-1.54795498E-3,5.40236651E-4,1.56091887E-3,
26960.000,-6.58255070E-2,-2.10918095E-2,2.33230367E-3,-6.73939241E-4,8.92910874E-4,5.36124571E-4,
2.7E04,2.58398280E-2,-4.30721184E-3,9.05723078E-4,-1.32557435E-3,2.12706649E-3,-1.03665931E-4,
27040.000,1.87439509E-2,-1.59136800E-3,-1.23615703E-3,-1.11029972E-3,1.86606310E-4,-4.87389887E-4,
27080.000,9.90293548E-2,-1.61674991E-3,1.92450956E-4,-1.76415779E-3,1.59760122E-3,-1.51087483E-3,
27120.000,-9.37237367E-2,2.55421754E-2,1.08362187E-3,1.99480884E-4,1.87443133E-4,1.04767282E-3,
27160.000,-1.08563080E-1,-4.31972090E-3,-5.23272902E-4,-8.88864452E-4,-3.42696410E-4,1.43001438E-3,
2.72E04,1.85982212E-2,-1.78866182E-2,1.79376709E-3,-1.32216816E-3,7.16535491E-4,1.93876401E-3,
27240.000,-3.57181393E-2,3.92676964E-2,5.48622571E-4,-6.74004259E-4,8.92717624E-4,1.17577601E-3,
27280.000,-1.44327823E-2,1.00783282E-3,-1.65239384E-4,2.15958944E-3,-5.17987181E-4,2.80633656E-4,
27320.000,3.22802290E-2,2.55422238E-2,-3.39810736E-4,-1.97420502E-3,-1.66316328E-4,-4.87647834E-4,
27360.000,-1.80898886E-2,-6.98932773E-3,-8.75070051E-4,-1.33248279E-3,1.95049751E-3,-9.97385476E-4,
2.74E04,-8.96171201E-3,4.95216958E-2,1.34104739E-5,4.15965565E-4,1.09387856E-5,-1.12726202E-3,
27440.000,9.34892073E-2,-2.04434935E-2,3.70688562E-4,-1.76145404E-3,-5.17960871E-4,-9.98239149E-4,
27480.000,5.36825461E-3,-1.77980848E-2,-1.05501257E-3,-6.67486573E-4,1.09650919E-5,1.30291097E-3,
27520.000,-8.28632116E-2,-7.07406411E-3,1.08437380E-3,1.99896051E-4,1.24537991E-3,1.17484527E-3,
27560.000,-8.96174274E-3,-1.65373622E-3,-5.18457033E-4,-8.89793271E-4,2.48044590E-3,-1.02570622E-4,
2.76E04,5.34101762E-2,3.82317533E-3,1.79546641E-3,2.37553869E-3,1.77571736E-3,-1.76206592E-3,
27640.000,-3.01199537E-2,-3.72112393E-2,-3.41200182E-4,-6.69871806E-4,8.92975368E-4,-1.51154888E-3,
27680.000,-1.49949603E-2,3.68581479E-3,7.27326144E-4,-2.37009604E-4,1.24662800E-3,-1.12488132E-3,
27720.000,-6.35997951E-2,-1.25701465E-2,7.27250299E-4,1.28906884E-3,2.65798578E-3,-1.03627768E-4,
27760.000,-4.30515632E-2,1.03642233E-3,7.27327133E-4,3.03144311E-3,1.27231779E-5,-2.30141479E-4,
2.78E04,5.29108606E-2,3.91756184E-3,1.61892804E-3,-1.75324664E-3,1.06875447E-3,1.30383694E-3,
27840.000,7.13236853E-2,1.13561219E-2,2.68510054E-3,-2.85575422E-3,7.16420647E-4,1.52046283E-4,
27880.000,2.57046111E-2,1.50298961E-2,-5.23326104E-4,1.94513635E-3,1.03771572E-5,2.80627050E-4,
27920.000,2.56403033E-2,-9.54195298E-3,-1.59998785E-3,-2.63482798E-3,-1.68571030E-4,2.80658482E-4,
27960.000,-9.45792254E-3,2.83591673E-2,-5.21654845E-4,6.35073113E-4,-1.57796126E-3,-1.63665682E-3,
2.8E04,-4.33629053E-3,2.43112557E-2,-3.42566462E-4,-1.10825186E-3,-1.75294699E-3,-1.50852615E-3,
28040.000,3.24475132E-2,1.06536585E-3,-1.23120029E-3,1.72389788E-3,-1.65245598E-4,-7.40980089E-4,
28080.000,-4.51691188E-2,-4.32846183E-3,9.05723078E-4,1.50648842E-3,2.30884901E-3,1.04728434E-3,
28120.000,-2.74887774E-2,-7.11806165E-3,1.08407845E-3,4.17369476E-4,-5.16944798E-4,9.19568411E-4,
28160.000,-3.85559462E-2,-1.22434301E-2,-8.78516119E-4,-8.92585260E-4,8.92846379E-4,-7.42128992E-4,
2.82E04,1.04302585E-1,2.46576276E-2,1.43396082E-5,1.98811947E-4,8.92615295E-4,-1.12633186E-3,
28240.000,5.11206361E-3,-9.76393931E-3,1.08410511E-3,-1.32563908E-3,1.85884695E-4,-1.64293731E-3,
28280.000,-3.88972601E-3,9.09198076E-3,1.94162014E-4,3.03765503E-3,5.40577224E-4,-1.25506055E-3,
28320.000,3.24474834E-2,-4.34631109E-3,-1.41600810E-3,2.37766420E-3,-3.40486004E-4,9.20119171E-4,
28360.000,5.29107973E-2,-1.22962538E-2,9.05627734E-4,-1.91859908E-5,-1.05320383E-3,1.43166608E-3,
2.84E04,-8.48097634E-3,2.27433611E-2,-8.79148487E-4,1.94418151E-3,7.16492592E-4,2.80418288E-4,
28440.000,1.09782424E-2,1.03642291E-3,1.79579924E-3,4.17883653E-4,-6.95189345E-4,6.63942483E-4,
28480.000,-1.11715205E-1,-9.84169170E-3,-1.05501257E-3,-2.19407049E-3,-3.42722749E-4,-8.67738388E-4,
28520.000,2.57045776E-2,-3.17259133E-2,-3.41664098E-4,4.18429176E-4,7.16545153E-4,-1.88941380E-3,
28560.000,-2.42507290E-2,4.06381162E-3,1.92696010E-4,4.17851203E-4,-1.63449426E-4,-2.14552390E-3,
2.86E04,-3.45806195E-3,-1.25701465E-2,1.92722582E-4,-1.10410352E-3,3.63122555E-4,-1.12588611E-3,
28640.000,-2.85064932E-2,-9.68811102E-3,-8.75070051E-4,-1.75596599E-3,-8.72633944E-4,1.30291085E-3,
28680.000,5.34102432E-2,2.70131081E-2,1.97412982E-3,-1.11029972E-3,3.72426328E-3,7.92138919E-4,
28720.000,-4.06090952E-2,-4.30721184E-3,-1.58535759E-3,-1.76275650E-3,1.77608838E-3,1.04701053E-3,
28760.000,1.85981896E-2,-1.77980848E-2,1.97226950E-3,-2.42278958E-3,3.62820458E-4,1.94001733E-3,
2.88E04,1.16684763E-2,1.43426647E-2,9.05606663E-4,8.53170059E-4,1.06712441E-5,-1.00051123E-3,
28840.000,1.86968949E-2,-2.07614899E-2,1.43396555E-5,1.28936442E-3,1.77566474E-3,-4.87132289E-4,
28880.000,6.73470646E-2,1.16311936E-2,1.79505430E-3,1.99545902E-4,2.12709280E-3,-2.40780693E-3,
28920.000,4.03848626E-2,6.38046116E-3,1.31445822E-5,4.16821800E-4,3.63725325E-4,-2.29225639E-4,
28960.000,4.54971902E-2,3.91751016E-3,1.44045078E-3,-6.76474185E-4,-3.39667284E-4,1.52835957E-4,
2.9E04,-2.24624411E-3,-7.03114178E-3,7.27249368E-4,8.53639853E-4,8.93298769E-4,-6.14482560E-4,
29040.000,6.19890951E-2,1.12439238E-3,-1.23698998E-3,1.94218010E-3,1.77653856E-3,-1.02638667E-4,
29080.000,5.29108606E-2,-1.55829834E-2,-8.80574633E-4,1.72577775E-3,1.86749981E-4,6.63856044E-4,
29120.000,1.15366541E-1,3.51035735E-3,9.05363471E-4,2.02151568E-4,2.12760596E-3,-3.59038939E-4,
29160.000,-2.02106945E-2,-4.31129662E-3,2.86691030E-3,1.28936442E-3,1.95398973E-3,-8.70146148E-4,
2.92E04,-7.86317959E-2,1.15433638E-3,-1.62890457E-4,-2.20518420E-3,8.93169257E-4,-4.86760488E-4,
29240.000,2.57045776E-2,6.69842912E-3,5.48892946E-4,-1.75865879E-3,-5.17960871E-4,-6.13484182E-4,
29280.000,5.08822724E-2,1.45659400E-2,7.27327133E-4,1.72651280E-3,1.77608838E-3,2.32420280E-3,
29320.000,6.19891621E-2,1.42329689E-2,-1.59216067E-3,-1.54411036E-3,-5.18978632E-4,2.19667330E-3,
29360.000,-9.45792254E-3,-2.59611737E-2,5.48965239E-4,-2.41599418E-3,-5.18469547E-4,4.08284628E-4,
2.94E04,3.70009127E-3,3.50251459E-2,-6.95549126E-4,-6.69021916E-4,5.39921341E-4,2.80107663E-4,
29440.000,-5.81657365E-2,1.18481438E-3,9.05675406E-4,4.17272036E-4,1.30415501E-5,5.36150066E-4,
29480.000,4.29269811E-3,-1.77106950E-2,-5.17385779E-4,-1.09997171E-3,-1.67101694E-4,-1.12920220E-3,
29520.000,6.73471019E-2,-4.31977166E-3,7.27350707E-4,6.36056648E-4,8.93195625E-4,-1.38490961E-3,
29560.000,-3.85559089E-2,-1.53843104E-3,-5.21707931E-4,4.17642907E-4,-5.18495857E-4,-3.58303776E-4,
2.96E04,1.23403169E-1,1.15433638E-3,3.70833906E-4,2.16320087E-3,1.42373878E-3,2.06963904E-3,
29640.000,-2.50196364E-2,2.87657734E-2,-1.59313972E-3,3.25089740E-3,9.81461471E-6,9.18858801E-4,
29680.000,3.29826921E-2,6.38041040E-3,1.44071807E-3,2.16444233E-3,5.39973960E-4,7.91534432E-4,
29720.000,-1.14569615E-3,8.96887330E-4,7.27249368E-4,-2.41091521E-3,8.93130898E-4,-1.02714774E-4,
29760.000,-6.66445419E-2,-3.70005630E-2,1.92642896E-4,-1.67272610E-5,1.42096879E-3,-9.99093754E-4,
2.98E04,-9.97047033E-3,-1.52086373E-2,5.49386314E-4,-2.38215187E-4,1.88745660E-4,-2.15101521E-3,
29840.000,5.94690479E-2,9.09193046E-3,1.92967404E-4,-2.36977066E-4,1.42261758E-3,-4.86798555E-4,
29880.000,4.29269951E-3,-6.98937802E-3,1.97464251E-3,-2.20037904E-3,5.40341600E-4,1.17632060E-3,
29920.000,6.06883243E-2,-4.32406412E-3,3.70979193E-4,-6.74826733E-4,-5.17987122E-4,6.64110470E-4,
29960.000,4.70564365E-2,1.47950379E-2,1.79833395E-3,-8.91686184E-4,5.39684144E-4,1.52981142E-4,
3E04,1.45680562E-1,1.50298458E-2,-1.23451976E-3,-1.11029972E-3,-1.68912680E-4,-4.84696036E-4,
30040.000,5.44586070E-2,2.57258173E-2,1.97561574E-3,-2.35838845E-4,-3.42749030E-4,-2.29740370E-4,
30080.000,1.84929334E-2,-1.77981369E-2,-1.23283220E-3,-8.91653646E-4,-5.19998022E-4,2.52965929E-5,
30120.000,-2.50196364E-2,-1.22434795E-2,-5.17385779E-4,8.53465986E-4,3.63148865E-4,1.43112766E-3,
30160.000,1.15043111E-2,-1.49950366E-2,-7.00990611E-4,-1.76142168E-3,-6.94608781E-4,6.64072344E-4,
3.02E04,6.80904612E-2,-1.51365157E-2,1.93429936E-4,-6.76376570E-4,1.77524157E-3,1.04747852E-3,
30240.000,-2.85064932E-2,-1.49256447E-2,-1.58630428E-3,4.18156560E-4,1.95052382E-3,1.94249279E-3,
30280.000,-2.93005109E-2,9.58141312E-3,1.94432112E-4,1.99130343E-4,3.64025967E-4,-1.12588611E-3,
30320.000,4.20965143E-2,3.77683644E-3,-6.97986281E-4,1.50782266E-3,-5.17934561E-4,-8.69814015E-4,
30360.000,3.21181603E-2,1.46798231E-2,1.79582578E-3,1.07143156E-3,1.77402666E-3,-6.13113632E-4,
3.04E04,-1.67913772E-2,-2.56863013E-2,-1.63281191E-4,-4.54013003E-4,3.62794090E-4,-8.69737938E-4,
30440.000,-1.22009311E-2,1.46798231E-2,-7.00378208E-4,-1.76964619E-3,5.40577224E-4,1.55788683E-3,
30480.000,-3.04075703E-3,-1.64155872E-3,3.71177419E-4,1.99545902E-4,7.16463896E-4,2.50072244E-5,
30520.000,3.06591205E-3,-1.82518400E-2,5.49063960E-4,1.28972554E-3,-2.81561795E-3,2.54030983E-5,
30560.000,-4.20424342E-2,-4.32835938E-3,-6.96740230E-4,1.50696933E-3,8.93298769E-4,-6.13151758E-4,
3.06E04,-2.50196680E-2,1.46798231E-2,-2.30713398E-3,-4.55403177E-4,-3.41000879E-4,-1.50971895E-3,
30640.000,-5.81007265E-2,6.83138799E-3,1.44047732E-3,4.17610456E-4,-6.96378062E-4,-9.93271708E-4,
30680.000,1.84928980E-2,2.39469465E-2,9.06010100E-4,2.00343216E-4,1.06861885E-3,2.49005516E-5,
30720.000,8.99432600E-2,-1.73716657E-2,1.79706502E-3,-2.36407664E-4,8.92834505E-4,-8.70184158E-4,
30760.000,2.54593547E-2,3.82312527E-3,-1.59123586E-3,-1.87582300E-5,5.40131645E-4,1.30225578E-3,
3.08E04,8.88380706E-2,-3.30746993E-2,1.79502775E-3,-1.32445933E-3,7.16516515E-4,5.36117645E-4,
30840.000,8.77681673E-2,1.21563079E-3,-1.77321117E-3,3.45827709E-3,-1.04809389E-3,6.63726591E-4,
30880.000,1.00358672E-1,-2.33157650E-2,2.15373281E-3,-4.56148176E-4,-1.66002908E-4,-4.85874625E-4,
30920.000,-6.72724620E-2,-1.81588288E-2,-6.97323179E-4,-2.41935579E-3,1.24623755E-3,-8.69737938E-4,
30960.000,-7.52821639E-2,-4.31134691E-3,7.27249368E-4,-1.10614311E-3,7.16511742E-4,2.54411698E-5,
3.1E04,-1.34381698E-2,1.26260333E-2,2.68587749E-3,-1.98157760E-3,-1.22655125E-3,-7.40648306E-4,
31040.000,-2.35068146E-2,-3.70005369E-2,7.27273989E-4,-1.76412519E-3,-1.57704821E-3,1.04685465E-3,
31080.000,1.16684446E-2,1.27848540E-3,-1.41235918E-3,2.16323347E-3,1.95198052E-3,9.19289421E-4,
31120.000,-7.83832073E-2,1.49117364E-2,9.05765337E-4,-8.94451397E-4,1.12324051E-5,-4.87609650E-4,
31160.000,3.38845910E-3,1.69444885E-2,-3.41173698E-4,-3.28146201E-3,9.49346031E-6,-1.76143437E-3,
3.12E04,1.85464248E-2,9.41413827E-3,-2.30075698E-3,1.28900399E-3,-6.98099029E-4,-1.25237787E-3,
31240.000,-5.05110472E-2,-2.07615402E-2,3.71348928E-4,1.07121281E-3,-8.68723902E-4,-1.25185761E-3,
31280.000,-1.14563433E-3,2.99268737E-2,1.93429936E-4,-1.32678810E-3,1.03771572E-5,4.08322725E-4,
31320.000,-5.27793588E-3,1.06541626E-3,-1.65239384E-4,-2.63482798E-3,1.24582159E-3,4.08290711E-4,
31360.000,1.03951637E-2,1.44536141E-2,-1.62917015E-4,-1.10718072E-3,1.06918835E-3,4.08412481E-4,
3.14E04,-1.23464204E-2,-4.32841061E-3,1.91495390E-4,-1.75736018E-3,1.24556117E-3,4.08322725E-4,
31440.000,-1.74299199E-2,-9.50650964E-3,-3.43031512E-4,-2.85578682E-3,-5.19514375E-4,-8.67738388E-4,
31480.000,-3.18405442E-2,-1.83461048E-2,-6.96713629E-4,-1.87257810E-5,-1.57801376E-3,-1.38322834E-3,
31520.000,4.58687171E-2,1.00793166E-3,-3.41200182E-4,-1.10925909E-3,7.16478273E-4,-6.16446487E-4,
31560.000,-6.87682480E-2,-1.50653385E-2,-2.12205993E-3,-1.75869092E-3,1.06968067E-3,-4.87351906E-4,
3.16E04,-6.64568171E-2,-1.61674968E-3,1.08407845E-3,-1.32678787E-3,-5.16437460E-4,1.04689272E-3,
31640.000,-3.18405069E-2,-1.51365157E-2,-5.17894630E-4,1.50669634E-3,-8.74569872E-4,9.18778824E-4,
31680.000,-4.74299379E-2,3.82317533E-3,-2.30078353E-3,1.07154134E-3,2.65952433E-3,-1.50793022E-3,
31720.000,-4.20423411E-2,4.03729677E-2,5.49287768E-4,-1.32449204E-3,8.93066288E-4,-4.85323020E-4,
31760.000,-5.16830049E-2,-4.30716202E-3,3.71493807E-4,-2.42964504E-3,1.24621124E-3,-1.38043310E-3,
3.18E04,4.70564365E-2,1.13560744E-2,7.27299601E-4,-2.20041163E-3,-1.22416171E-3,-2.30657344E-4,
31840.000,-1.89045798E-2,1.21130235E-2,1.43661900E-5,-1.77092734E-5,1.12324051E-5,5.36168343E-4,
31880.000,6.33799583E-2,-1.20889470E-2,1.79706502E-3,-6.76409050E-4,5.39763249E-4,1.55788695E-3,
31920.000,2.02637748E-3,-1.52085880E-2,9.05702007E-4,1.50560681E-3,-5.21018985E-4,1.17562024E-3,
31960.000,6.73471317E-2,-7.03114178E-3,1.08383666E-3,-2.01728708E-5,3.64625826E-4,2.52965929E-5,
3.2E04,-1.89046375E-2,-2.07614899E-2,7.27351697E-4,-1.98447192E-3,1.59897853E-3,-8.68514762E-4,
32040.000,-6.30687028E-2,9.49724391E-3,1.79791951E-3,-4.56148176E-4,-2.28029559E-3,1.17461383E-3,
32080.000,-4.51690890E-2,-2.36917660E-2,1.61960965E-3,1.94263901E-3,1.95247564E-3,-1.25137542E-3,
32120.000,-4.62807305E-2,6.25861576E-3,2.50820466E-3,-1.54037483E-3,1.24582159E-3,-6.13113632E-4,
32160.000,-1.86786382E-3,-1.64155872E-3,-3.41637526E-4,2.37624650E-3,-1.68544560E-4,-6.16112258E-4,
3.22E04,1.16684763E-2,-7.03114131E-3,-8.77831073E-4,-8.91686068E-4,-1.57514575E-3,6.63673331E-4,
32240.000,6.73471317E-2,-9.96206794E-3,-6.97959680E-4,-2.18775473E-3,-1.93315977E-3,4.08482418E-4,
32280.000,3.94895636E-2,-4.34170989E-3,5.49287768E-4,6.36546174E-4,1.03508737E-5,4.08354681E-4,
32320.000,4.29269951E-3,1.93903185E-2,1.97221641E-3,-1.75053242E-3,1.24558748E-3,1.04654336E-3,
32360.000,-1.22009683E-2,-7.05251889E-3,2.15702131E-3,-8.90690484E-4,1.06957054E-3,-2.29225639E-4,
3.24E04,3.27984579E-2,3.51045351E-3,1.92967404E-4,-2.19723792E-3,-1.40278833E-3,-8.70184158E-4,
32440.000,-2.27865297E-2,2.75758486E-2,1.44045078E-3,4.19180695E-4,-8.70676595E-4,-1.25286041E-3,
32480.000,1.16685098E-2,-1.46561172E-2,1.79626502E-3,-1.11140648E-3,1.12849966E-5,1.68648490E-3,
32520.000,-8.16998482E-2,-4.33276128E-3,-1.62110096E-4,6.36252342E-4,9.46714499E-6,1.53050118E-4,
32560.000,-5.94078191E-2,2.05639619E-2,5.49287768E-4,1.98714435E-4,-2.10461020E-3,4.08424734E-4,
3.26E04,1.28583565E-1,-3.45659070E-2,7.27223698E-4,6.36121433E-4,-1.04884477E-3,-7.40648306E-4,
32640.000,-3.48308198E-2,-9.72578954E-3,-1.41238584E-3,-1.62694341E-5,2.48118187E-3,-4.86464909E-4,
32680.000,-8.52448717E-2,-1.61664945E-3,3.69972724E-4,-2.40757014E-3,-1.65271907E-4,-3.58561345E-4,
32720.000,1.16684120E-2,2.22591758E-2,3.70489870E-4,1.28854567E-3,1.86776306E-4,-1.37875997E-3,
32760.000,-3.85559164E-2,-3.39893326E-2,3.70833906E-4,-4.52528213E-4,-1.40018458E-3,-1.38207118E-3,
3.28E04,-3.18405069E-2,-9.65089723E-3,1.62097625E-3,2.01390430E-4,-8.70051503E-4,-2.29664220E-4,
32840.000,-8.96167848E-3,-1.24037201E-2,1.37027037E-5,3.68685392E-3,-5.18978632E-4,6.64072344E-4,
32880.000,5.85790956E-3,-1.46560688E-2,-3.43962747E-4,-1.32331322E-3,-6.97516196E-4,2.80418259E-4,
32920.000,2.57710479E-2,4.01447061E-3,1.44018361E-3,1.50721020E-3,-6.97489828E-4,-1.02130289E-4,
32960.000,-8.48097634E-3,-1.49256447E-2,3.70291062E-4,4.16789262E-4,-5.19488065E-4,-9.98200849E-4,
3.3E04,-3.45805986E-3,-1.78865679E-2,-1.23283220E-3,1.72427960E-3,1.24681031E-3,2.80734617E-4,
33040.000,5.62302694E-2,1.25206867E-2,1.44021027E-3,-6.71509362E-4,1.88355902E-4,-2.01817625E-3,
33080.000,4.62520234E-2,-2.90642940E-2,-2.83290888E-3,-2.62768427E-3,1.95346703E-3,-1.02897182E-4,
33120.000,1.11594414E-2,-2.39504464E-2,9.05100314E-4,-6.71476824E-4,1.95047131E-3,5.36150066E-4,
33160.000,2.56403368E-2,3.59709631E-3,1.08413165E-3,-1.10510655E-3,-1.65976642E-4,9.19251353E-4,
3.32E04,3.06587736E-3,-2.04434935E-2,-6.97933079E-4,-1.97855919E-3,5.40157896E-4,2.46106520E-5,
33240.000,1.11594750E-2,6.38051005E-3,9.05316090E-4,3.24745686E-3,1.94901822E-3,1.53012035E-4,
33280.000,-1.94790829E-2,-6.92843460E-3,-3.42566462E-4,-2.33374711E-4,1.24576897E-3,-1.02494487E-4,
33320.000,-6.87682107E-2,-4.42889854E-2,7.27173290E-4,-1.67272610E-5,-1.65976642E-4,-1.12544070E-3,
33360.000,-4.98492382E-2,1.78651791E-2,-6.99739554E-4,6.36252342E-4,7.16504583E-4,-4.86169767E-4,
3.34E04,-2.63704755E-3,1.06541626E-3,9.05580120E-4,-6.71476941E-4,-1.64125042E-4,2.06872588E-3,
33440.000,4.62520234E-2,1.00778358E-3,5.48991782E-4,-2.41596135E-3,1.95203314E-3,1.30383705E-3,
33480.000,-4.28071655E-2,2.01100819E-2,-6.97323179E-4,1.07099500E-3,1.88134567E-4,-1.50912232E-3,
33520.000,-2.07570773E-2,-1.52085358E-2,-1.23535143E-3,-1.82010190E-5,3.00916634E-3,-1.37931725E-3,
33560.000,4.00765724E-2,1.43426135E-2,3.72178009E-4,-2.63666688E-3,-3.41384904E-4,-1.12636993E-3,
3.36E04,-7.52922520E-2,1.18203359E-2,-1.05883216E-3,3.03034112E-3,5.40315348E-4,1.04685465E-3,
33640.000,-2.63704755E-3,1.96728949E-2,-5.22759743E-4,-1.32672291E-3,-5.19031251E-4,6.63856044E-4,
33680.000,-1.50114275E-3,-9.54204984E-3,1.91986866E-4,1.94411643E-3,8.92846379E-4,-4.87609737E-4,
33720.000,-3.66873257E-2,2.51817740E-2,-1.05506566E-3,-2.35838845E-4,-5.19435504E-4,-1.12588599E-3,
33760.000,-1.61733236E-2,1.69444885E-2,-8.81949672E-4,4.17883653E-4,3.64775478E-4,-1.03003491E-4,
3.38E04,5.11206361E-3,-1.22434301E-2,1.53460587E-5,-2.84431246E-3,8.93027987E-4,-1.12588611E-3,
33840.000,4.88348566E-2,8.86039156E-3,-1.59118266E-3,6.35401579E-4,-5.20534639E-4,-1.12443638E-3,
33880.000,7.39053786E-2,-1.25140408E-2,-1.41150865E-3,-1.54291803E-3,-8.71954660E-4,2.51519305E-5,
33920.000,-5.41453734E-2,-1.24585358E-2,1.79833395E-3,-8.90755502E-4,1.95099146E-3,-1.12588611E-3,
33960.000,-1.94790829E-2,6.25861576E-3,9.05437453E-4,-1.82010190E-5,8.93066288E-4,-8.68145376E-4,
3.4E04,-4.16890420E-2,3.82312527E-3,5.49162680E-4,2.00310737E-4,1.42208464E-3,2.80355132E-4,
34040.000,8.03660303E-2,-9.80257057E-3,2.33040564E-3,1.50751625E-3,1.88329650E-4,1.30244868E-3,
34080.000,-3.88962100E-3,-4.29510744E-3,1.26243487E-3,-4.52560722E-4,1.87443133E-4,6.64029038E-4,
34120.000,7.84175694E-2,1.25206867E-2,5.49189223E-4,1.07121281E-3,5.40026522E-4,-6.14815683E-4,
34160.000,-2.20888034E-2,-3.12039796E-2,5.48991782E-4,-2.19407049E-3,1.14995464E-5,4.08482447E-4,
3.42E04,2.55178008E-2,3.79618555E-2,3.70807364E-4,2.00278329E-4,-6.95744005E-4,-7.43984769E-4,
34240.000,-7.52821192E-2,1.99625418E-2,7.27275910E-4,1.50642358E-3,-8.64806760E-4,6.63899293E-4,
34280.000,-4.12463844E-2,3.79618555E-2,1.92450956E-4,-1.10929157E-3,-3.37929116E-4,7.92014936E-4,
34320.000,-1.05001079E-2,-1.23496801E-2,7.27403734E-4,-6.68237568E-4,-1.40189333E-3,2.80525972E-4,
34360.000,-1.54844359E-1,-3.43712717E-2,-3.43936204E-4,-1.32908847E-3,1.24600320E-3,-1.04215018E-4,
3.44E04,2.58397590E-2,2.73860339E-2,-1.41150865E-3,-3.29208979E-3,1.88992723E-4,2.58743512E-5,
34440.000,3.38849472E-3,-2.56863534E-2,-1.62917015E-4,1.07143156E-3,1.18452044E-5,-1.00043498E-3,
34480.000,-7.83832297E-2,-9.68811102E-3,1.91741230E-4,-2.01403727E-5,-2.28154589E-3,5.36106410E-4,
34520.000,4.58687805E-2,6.63327146E-3,1.95404646E-4,-1.10825186E-3,-3.42285173E-4,-9.98277217E-4,
34560.000,5.74110113E-2,2.83591393E-2,1.26093917E-3,1.94270408E-3,1.77826383E-3,-8.70630902E-4,
3.46E04,-1.10478094E-2,-7.05251889E-3,1.79706502E-3,1.97946400E-4,8.92679556E-4,1.04794733E-3,
34640.000,1.18274344E-2,-2.28358302E-2,-6.99819240E-4,3.03037371E-3,-1.22336659E-3,-3.57531942E-4,
34680.000,-1.55748548E-2,-1.68939412E-3,-7.01043813E-4,-4.53980581E-4,1.03508737E-5,-9.96863935E-4,
34720.000,-4.98492792E-2,3.61647271E-2,2.51102797E-3,-2.63841054E-3,1.09125231E-5,-1.02168364E-4,
34760.000,-2.62663327E-2,-4.30307817E-3,1.97612937E-3,6.36578538E-4,-1.75297342E-3,-6.14149496E-4,
3.48E04,-1.67913772E-2,-1.56523648E-3,1.92669468E-4,2.58925674E-3,-3.43134307E-4,1.52084423E-4,
34840.000,-4.62807640E-2,1.73291657E-2,1.92696010E-4,-2.38182707E-4,2.12819828E-3,-7.41720432E-4,
34880.000,6.66272342E-2,-9.84169077E-3,-3.41637584E-4,2.00278329E-4,1.06711996E-5,-9.97385592E-4,
34920.000,-3.27443853E-2,6.56893011E-3,1.26207329E-3,2.15782435E-3,-2.28279713E-3,-2.31241720E-4,
34960.000,-7.83832595E-2,2.79626399E-2,-5.22759743E-4,2.38054083E-3,-5.18495857E-4,-3.58303776E-4,
3.5E04,6.41120747E-2,6.69842912E-3,-6.98570278E-4,2.01074115E-4,5.40052832E-4,-6.11824042E-4,
35040.000,6.06883578E-2,-9.76398960E-3,-1.23368890E-3,1.50642346E-3,-5.19514375E-4,6.64072344E-4,
35080.000,-1.50117488E-3,2.57258881E-2,5.49314311E-4,1.94270397E-3,-1.64880519E-4,-8.68960225E-4,
35120.000,-3.46469991E-2,-2.09803488E-2,-1.22786523E-3,2.02911135E-4,-6.95189345E-4,1.52797860E-4,
35160.000,-4.74299714E-2,6.56882999E-3,-1.77213119E-3,-6.74761657E-4,1.77489757E-3,9.19213286E-4,
