Labels,MOF 2 PBS Ar 420 nm 400us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

8040.00,-9.21405008E-5,
8080.00,7.72193831E-4,
8120.00,5.55410050E-4,
8160.00,-4.15773626E-4,
8200.00,9.87683306E-4,
8240.00,-8.47855525E-4,
8280.00,3.39102437E-4,
8320.00,5.54400147E-4,
8360.00,-6.31528965E-4,
8400.00,-7.38930306E-4,
8440.00,-8.47855583E-4,
8480.00,-3.07968236E-4,
8520.00,5.55965584E-4,
8560.00,-1.17144850E-3,
8600.00,1.09680230E-3,
8640.00,3.39070277E-4,
8680.00,-7.39213894E-4,
8720.00,-2.00082504E-4,
8760.00,-1.17138412E-3,
8800.00,2.31991813E-4,
8840.00,8.77375482E-4,
8880.00,1.85199862E-3,
8920.00,3.40019644E-4,
8960.00,-4.16224502E-4,
9000.00,-1.06213544E-3,
9040.00,-2.00114649E-4,
9080.00,-8.47396965E-4,
9120.00,3.37892008E-4,
9160.00,3.40065424E-4,
9200.00,1.22796409E-4,
9240.00,5.55182167E-4,
9280.00,3.40557453E-4,
9320.00,1.55817797E-5,
9360.00,-4.16472118E-4,
9400.00,-1.60345621E-3,
9440.00,1.20471220E-3,
9480.00,8.80657346E-4,
9520.00,-7.39591662E-4,
9560.00,6.64512394E-4,
9600.00,-9.20947568E-5,
9640.00,6.63620594E-4,
9680.00,1.52740777E-5,
9720.00,-2.00082490E-4,
9760.00,1.58337298E-5,
9800.00,4.46846243E-4,
9840.00,-3.08056711E-4,
9880.00,6.62540260E-4,
9920.00,1.74179964E-3,
9960.00,1.09518273E-3,
1E04,-3.08043323E-4,
10040.000,9.83688165E-4,
10080.000,-5.23828145E-4,
10120.000,-4.16087394E-4,
10160.000,-7.39213894E-4,
1.02E04,6.63049170E-4,
10240.000,1.09445886E-3,
10280.000,2.17330782E-3,
10320.000,-1.27893477E-3,
10360.000,-3.08137416E-4,
1.04E04,-2.00138747E-4,
10440.000,7.70511804E-4,
10480.000,-1.17111870E-3,
10520.000,-2.00122682E-4,
10560.000,1.23711405E-4,
1.06E04,6.62443868E-4,
10640.000,8.79338535E-4,
10680.000,3.39244376E-4,
10720.000,-9.23119442E-5,
10760.000,1.20224559E-3,
1.08E04,-8.47702613E-4,
10840.000,1.95156969E-3,
10880.000,-8.47396965E-4,
10920.000,-4.15722752E-4,
10960.000,9.87315783E-4,
1.1E04,-8.46361625E-4,
11040.000,-8.46513954E-4,
11080.000,-2.00090537E-4,
11120.000,1.23470207E-4,
11160.000,-4.16014809E-4,
1.12E04,1.23703430E-4,
11240.000,1.09647179E-3,
11280.000,-7.39591604E-4,
11320.000,6.62285893E-4,
11360.000,-4.16041730E-4,
1.14E04,1.56514343E-5,
11440.000,-1.17208471E-3,
11480.000,2.31530154E-4,
11520.000,-1.49724970E-3,
11560.000,-1.71264738E-3,
1.16E04,1.59224655E-5,
11640.000,-7.39559415E-4,
11680.000,1.63323584E-3,
11720.000,5.52872953E-4,
11760.000,6.62253820E-4,
1.18E04,1.09317375E-3,
11840.000,1.23413949E-4,
11880.000,-1.60101068E-3,
11920.000,-8.47944233E-4,
11960.000,8.79518280E-4,
1.2E04,1.55844718E-5,
12040.000,8.78721825E-4,
12080.000,1.20004639E-3,
12120.000,6.60259509E-4,
12160.000,-5.23611146E-4,
1.22E04,-1.17051613E-3,
12240.000,-1.49942480E-3,
12280.000,-8.46481824E-4,
12320.000,-9.22021209E-5,
12360.000,-1.71372062E-3,
1.24E04,1.20506994E-3,
12440.000,1.57720424E-5,
12480.000,-9.55926429E-4,
12520.000,-5.24013245E-4,
12560.000,8.77343351E-4,
1.26E04,-2.00058392E-4,
12640.000,2.17396975E-3,
12680.000,-7.39717623E-4,
12720.000,-1.49624154E-3,
12760.000,-4.15787013E-4,
1.28E04,8.80380452E-4,
12840.000,9.86438943E-4,
12880.000,-8.47276417E-4,
12920.000,1.20001449E-3,
12960.000,1.52768262E-5,
1.3E04,-2.46201945E-3,
13040.000,1.57398918E-5,
13080.000,1.31217891E-3,
13120.000,3.40921310E-4,
13160.000,-1.92873878E-3,
1.32E04,-1.06295955E-3,
13240.000,3.39528546E-4,
13280.000,-1.06533128E-3,
13320.000,-1.92750606E-3,
13360.000,-1.70973944E-3,
1.34E04,-1.06316584E-3,
13440.000,3.39812977E-4,
13480.000,-2.35827849E-3,
13520.000,-3.07781127E-4,
13560.000,-4.16014809E-4,
1.36E04,1.41918694E-3,
13640.000,9.86168394E-4,
13680.000,7.69700913E-4,
13720.000,-3.07954819E-4,
13760.000,7.71259423E-4,
1.38E04,-2.57468410E-3,
13840.000,1.56755723E-5,
13880.000,1.58311523E-5,
13920.000,7.72476022E-4,
13960.000,5.53846883E-4,
1.4E04,-2.00258859E-4,
14040.000,-9.54669609E-4,
14080.000,-1.49529940E-3,
14120.000,-3.07879876E-4,
14160.000,-4.16028255E-4,
1.42E04,-1.38729799E-3,
14240.000,-1.92795973E-3,
14280.000,-1.06319797E-3,
14320.000,-1.60135038E-3,
14360.000,-5.23723604E-4,
1.44E04,1.20422605E-3,
14440.000,5.55117906E-4,
14480.000,-1.60512992E-3,
14520.000,-7.39685434E-4,
14560.000,-5.23715571E-4,
1.46E04,2.32056162E-4,
14640.000,-2.25371146E-3,
14680.000,6.64066232E-4,
14720.000,4.48230508E-4,
14760.000,-9.55355121E-4,
1.48E04,2.32370818E-4,
14840.000,-1.49914133E-3,
14880.000,-5.23763825E-4,
14920.000,-4.15690622E-4,
14960.000,2.60555418E-3,
1.5E04,9.86741739E-4,
15040.000,5.55965642E-4,
15080.000,-4.15859307E-4,
15120.000,1.52478472E-3,
15160.000,3.40350438E-4,
1.52E04,1.09281274E-3,
15240.000,-6.32554758E-4,
15280.000,2.18050089E-3,
15320.000,-8.48008611E-4,
15360.000,8.76857026E-4,
1.54E04,-7.40190153E-4,
15440.000,7.72161584E-4,
15480.000,-9.23440530E-5,
15520.000,1.09581091E-3,
15560.000,7.71162973E-4,
1.56E04,1.74717687E-3,
15640.000,8.80934414E-4,
15680.000,2.32107341E-4,
15720.000,7.69981707E-4,
15760.000,-7.40316464E-4,
1.58E04,8.77375482E-4,
15840.000,-8.48435913E-4,
15880.000,2.32255130E-4,
15920.000,1.63465866E-3,
15960.000,3.38709069E-4,
1.6E04,-7.40348652E-4,
16040.000,-1.49220065E-3,
16080.000,-9.21377941E-5,
16120.000,-2.03478313E-3,
16160.000,-9.55894298E-4,
1.62E04,1.41214102E-3,
16240.000,-9.21699539E-5,
16280.000,-7.39653304E-4,
16320.000,4.46404883E-4,
16360.000,7.73258856E-4,
1.64E04,-2.35983217E-3,
16440.000,4.46541235E-4,
16480.000,4.47553786E-4,
16520.000,-4.15969203E-4,
16560.000,-2.14489526E-3,
1.66E04,1.20111310E-3,
16640.000,1.41751417E-3,
16680.000,-4.15781629E-4,
16720.000,-9.21350656E-5,
16760.000,-1.06210331E-3,
1.68E04,-5.23691473E-4,
16840.000,-7.40096089E-4,
16880.000,4.46404883E-4,
16920.000,-1.81886891E-3,
16960.000,1.52781128E-3,
1.7E04,-1.27818773E-3,
17040.000,-9.54279152E-4,
17080.000,-1.49248098E-3,
17120.000,-6.31001953E-4,
17160.000,5.55737468E-4,
1.72E04,-1.38745643E-3,
17240.000,3.39244434E-4,
17280.000,-4.15918301E-4,
17320.000,-1.28046481E-3,
17360.000,-9.57336160E-4,
1.74E04,6.62794686E-4,
17440.000,5.56325773E-4,
17480.000,8.80966603E-4,
17520.000,-6.32127339E-4,
17560.000,3.39006016E-4,
1.76E04,-1.38554664E-3,
17640.000,-1.06257934E-3,
17680.000,-9.55028285E-4,
17720.000,1.41550030E-3,
17760.000,4.45803686E-4,
1.78E04,-8.47581949E-4,
17840.000,1.84785970E-3,
17880.000,1.42035505E-3,
17920.000,-7.40254531E-4,
17960.000,-1.16952136E-3,
1.8E04,1.54291884E-5,
18040.000,-9.23761836E-5,
18080.000,6.62031816E-4,
18120.000,-9.23440530E-5,
18160.000,-9.19310114E-5,
1.82E04,1.23977152E-4,
18240.000,-7.40348652E-4,
18280.000,4.47521626E-4,
18320.000,-1.49463979E-3,
18360.000,-9.22718027E-5,
1.84E04,7.70977931E-4,
18440.000,-1.27945503E-3,
18480.000,-9.53857088E-4,
18520.000,-8.46874784E-4,
18560.000,2.49119685E-3,
1.86E04,1.23205187E-4,
18640.000,1.58928833E-5,
18680.000,-5.24045434E-4,
18720.000,-2.79183430E-3,
18760.000,5.56129613E-4,
1.88E04,-1.38615118E-3,
18840.000,-9.20358289E-5,
18880.000,-2.00098584E-4,
18920.000,-4.15950461E-4,
18960.000,1.84941012E-3,
1.9E04,-1.16948923E-3,
19040.000,-1.27913058E-3,
19080.000,-1.27896701E-3,
19120.000,-9.54996154E-4,
19160.000,1.09320600E-3,
1.92E04,2.32570121E-4,
19240.000,-1.06313371E-3,
19280.000,-3.11905867E-3,
19320.000,8.79518280E-4,
19360.000,3.40350438E-4,
1.94E04,1.52425223E-3,
19440.000,3.40240105E-4,
19480.000,-6.32191717E-4,
19520.000,-4.16517985E-4,
19560.000,-2.78925896E-3,
1.96E04,2.31760845E-4,
19640.000,2.31530154E-4,
19680.000,-1.81939185E-3,
19720.000,-1.17118307E-3,
19760.000,-2.03478313E-3,
1.98E04,-8.47887772E-4,
19840.000,-3.07925395E-4,
19880.000,-7.39591604E-4,
19920.000,1.19940052E-3,
19960.000,-4.15819144E-4,
2E04,-4.15690622E-4,
20040.000,7.71444640E-4,
20080.000,-9.55355121E-4,
20120.000,1.20214920E-3,
20160.000,-7.39246025E-4,
2.02E04,4.48198261E-4,
20240.000,-1.27873931E-3,
20280.000,-7.39811570E-4,
20320.000,1.09548063E-3,
20360.000,-2.35824636E-3,
2.04E04,-1.38726598E-3,
20440.000,-1.71050557E-3,
20480.000,8.81488959E-4,
20520.000,2.30756617E-4,
20560.000,-1.93130702E-3,
2.06E04,-8.48008611E-4,
20640.000,-3.07887967E-4,
20680.000,1.22972677E-4,
20720.000,-9.18610385E-5,
20760.000,9.85197024E-4,
2.08E04,-6.31727278E-4,
20840.000,-1.17185107E-3,
20880.000,7.69949635E-4,
20920.000,-2.36039329E-3,
20960.000,7.70230661E-4,
2.1E04,5.54432278E-4,
21040.000,6.64512452E-4,
21080.000,-5.23715571E-4,
21120.000,-6.31429895E-4,
