Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,2.51823477E-3,
40.00,-3.44459875E-3,
80.00,-3.39342374E-3,
120.00,3.17894854E-3,
160.00,-1.09377106E-4,
200.00,-1.48317334E-3,
240.00,-4.13541030E-3,
280.00,-1.06353471E-2,
320.00,-2.16156384E-3,
360.00,7.83913862E-3,
400.00,4.51071700E-3,
440.00,2.50338670E-3,
480.00,-3.45486728E-3,
520.00,1.11267213E-2,
560.00,3.83821037E-3,
600.00,-4.70814575E-3,
640.00,3.17829219E-3,
680.00,-6.10835245E-3,
720.00,5.17277559E-3,
760.00,-6.61260681E-3,
800.00,1.04807457E-2,
840.00,7.17028463E-3,
880.00,-4.08998830E-3,
920.00,3.84725351E-3,
960.00,5.15298918E-3,
1000.00,-1.27187939E-2,
1040.00,-9.45483427E-3,
1080.00,-1.46081467E-4,
1120.00,1.86512014E-3,
1160.00,-5.39852679E-3,
1200.00,-4.16971976E-3,
1240.00,-4.79387306E-3,
1280.00,-3.59199126E-3,
1320.00,-2.82429485E-3,
1360.00,-8.08999315E-3,
1400.00,1.86287949E-3,
1440.00,1.86283037E-3,
1480.00,7.17625534E-3,
1520.00,-2.82439403E-3,
1560.00,6.48791855E-3,
1600.00,3.84147721E-3,
1640.00,7.19412928E-3,
1680.00,-5.51922573E-3,
1720.00,-8.05519335E-3,
1760.00,3.84550518E-3,
1800.00,1.21261703E-3,
1840.00,-8.01461749E-4,
1880.00,-2.84319604E-3,
1920.00,5.84335579E-3,
1960.00,-9.39651392E-3,
2000.00,7.82529637E-3,
2040.00,3.17904702E-3,
2080.00,-1.19513413E-2,
2120.00,1.10208960E-2,
2160.00,-2.74060573E-3,
2200.00,-2.83373124E-3,
2240.00,-1.01715056E-2,
2280.00,-1.14386277E-2,
2320.00,-1.06565543E-2,
2360.00,-2.11983244E-3,
2400.00,5.18424530E-3,
2440.00,1.82928320E-3,
2480.00,1.86943565E-3,
2520.00,8.48515704E-3,
2560.00,3.17767938E-3,
2600.00,-1.42498035E-3,
2640.00,-1.41062727E-3,
2680.00,4.51435940E-3,
2720.00,1.18034205E-3,
2760.00,4.51440923E-3,
2800.00,7.76408752E-3,
2840.00,-1.06990198E-2,
2880.00,5.84724732E-3,
2920.00,4.50699730E-3,
2960.00,5.12410188E-4,
3000.00,9.14416555E-3,
3040.00,6.46379916E-3,
3080.00,-8.19547288E-3,
3120.00,7.15267798E-3,
3160.00,6.50245836E-3,
3200.00,-1.14384787E-2,
3240.00,6.48313481E-3,
3280.00,5.58865082E-4,
3320.00,1.17049541E-3,
3360.00,-1.56650465E-4,
3400.00,-8.14014347E-4,
3440.00,-3.48596531E-3,
3480.00,4.49967571E-3,
3520.00,-1.25039936E-4,
3560.00,-4.07869462E-3,
3600.00,8.49302299E-3,
3640.00,5.17277513E-3,
3680.00,-5.37209213E-3,
3720.00,2.52654264E-3,
3760.00,-1.01508135E-2,
3800.00,5.82020730E-3,
3840.00,-4.81889676E-3,
3880.00,-1.81835890E-2,
3920.00,-1.67283390E-4,
3960.00,9.77246556E-3,
4000.00,-8.63432791E-3,
4040.00,-8.17757472E-3,
4080.00,-4.15818207E-3,
4120.00,-7.95239175E-4,
4160.00,7.10632605E-3,
4200.00,-3.38334031E-3,
4240.00,-4.86915559E-3,
4280.00,-1.45394879E-3,
4320.00,7.80469039E-3,
4360.00,5.16719231E-3,
4400.00,-3.53861833E-3,
4440.00,1.86077890E-3,
4480.00,4.50153463E-3,
4520.00,-9.39646363E-3,
4560.00,3.17731779E-3,
4600.00,-1.24941478E-4,
4640.00,2.52540829E-3,
4680.00,1.17568048E-2,
4720.00,1.18360412E-3,
4760.00,3.17783467E-3,
4800.00,5.84729714E-3,
4840.00,9.81199183E-3,
4880.00,-1.35223372E-2,
4920.00,-3.46526783E-3,
4960.00,2.51454907E-3,
5000.00,-2.73155002E-3,
5040.00,-1.56699956E-4,
5080.00,-2.74978578E-3,
5120.00,-1.43216457E-3,
5160.00,6.49281684E-3,
5200.00,2.51828390E-3,
5240.00,-5.45168389E-3,
5280.00,2.52308068E-3,
5320.00,-1.59289744E-2,
5360.00,-1.19513916E-2,
5400.00,1.85191759E-3,
5440.00,5.18424483E-3,
5480.00,5.25185198E-4,
5520.00,2.51581427E-3,
5560.00,5.82035491E-3,
5600.00,-6.10850053E-3,
5640.00,1.43964300E-2,
5680.00,3.17989895E-3,
5720.00,5.17277513E-3,
5760.00,2.50463677E-3,
5800.00,-5.56022301E-3,
5840.00,2.52431957E-3,
5880.00,-1.32674063E-2,
5920.00,-8.14063707E-4,
5960.00,6.49271812E-3,
6000.00,-7.88838486E-4,
6040.00,9.18892119E-3,
6080.00,1.19665160E-3,
6120.00,1.22516812E-3,
6160.00,9.15303268E-3,
6200.00,-8.76206066E-3,
6240.00,3.17939930E-3,
6280.00,5.46300376E-4,
6320.00,-1.27431359E-2,
6360.00,-1.46652060E-2,
6400.00,-3.40358703E-3,
6440.00,-6.13731565E-3,
6480.00,-4.75699408E-3,
6520.00,8.43822118E-3,
6560.00,4.52557392E-3,
6600.00,-5.35891019E-3,
6640.00,1.86072988E-3,
6680.00,-1.49792072E-3,
6720.00,3.17736762E-3,
6760.00,4.95225831E-4,
6800.00,3.84223834E-3,
6840.00,4.49787127E-3,
6880.00,-1.49787066E-3,
6920.00,5.84340561E-3,
6960.00,2.51087896E-3,
7000.00,-6.64253486E-3,
7040.00,-7.38628302E-3,
7080.00,5.80513850E-3,
7120.00,-6.68776827E-3,
7160.00,5.79762319E-3,
7200.00,-1.45399780E-3,
7240.00,-4.12392849E-3,
7280.00,-2.75904383E-3,
7320.00,9.11753159E-3,
7360.00,-6.76412880E-3,
7400.00,1.24097709E-2,
7440.00,-2.15311744E-3,
7480.00,7.14677898E-3,
7520.00,-4.75689489E-3,
7560.00,-1.14565657E-4,
7600.00,-1.40698641E-4,
7640.00,-4.12392849E-3,
7680.00,5.12459665E-4,
7720.00,7.83225615E-3,
7760.00,9.18897148E-3,
7800.00,1.57540571E-2,
7840.00,-8.39599990E-4,
7880.00,5.17267641E-3,
7920.00,8.45373888E-3,
7960.00,-7.95140048E-4,
8000.00,1.85399503E-3,
8040.00,-1.49053521E-3,
8080.00,5.14747528E-3,
