Labels,MOF 2 PBS Ar 420 nm 1000us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-9.94969392E-4,
100.00,-1.88103295E-3,
200.00,-9.93747264E-4,
300.00,-3.28593072E-4,
400.00,-9.96193965E-4,
500.00,3.35749122E-4,
600.00,1.88536185E-3,
700.00,-1.07969878E-4,
800.00,-2.31800438E-3,
900.00,1.44069653E-3,
1000.00,-2.98052840E-3,
1100.00,-3.28864087E-4,
1200.00,7.77910638E-4,
1300.00,-1.43435248E-3,
1400.00,5.56800980E-4,
1500.00,5.56440558E-4,
1600.00,-1.43102359E-3,
1700.00,-1.07178144E-4,
1800.00,3.35342978E-4,
1900.00,-1.87470333E-3,
2000.00,1.66653807E-3,
2100.00,-1.21858215E-3,
2200.00,-1.43355189E-3,
2300.00,-7.71960011E-4,
2400.00,1.00100634E-3,
2500.00,-1.88006880E-3,
2600.00,-2.31291424E-3,
2700.00,-3.86693655E-3,
2800.00,-4.54125600E-3,
2900.00,-9.93071240E-4,
3000.00,1.88368093E-3,
3100.00,-3.29168368E-4,
3200.00,3.65832145E-3,
3300.00,-3.42085143E-3,
3400.00,-3.28355352E-4,
3500.00,2.10430822E-3,
3600.00,7.79051974E-4,
3700.00,-1.20776321E-3,
3800.00,-1.21564791E-3,
3900.00,7.77976529E-4,
4000.00,3.35749122E-4,
4100.00,1.14402857E-4,
4200.00,-3.28659109E-4,
4300.00,-3.27880582E-4,
4400.00,1.22141419E-3,
4500.00,1.88707921E-3,
4600.00,1.22193398E-3,
4700.00,-3.27275135E-4,
4800.00,-5.50220022E-4,
4900.00,-1.65795546E-3,
5000.00,1.22242107E-3,
5100.00,-5.50571072E-4,
5200.00,-1.88322843E-3,
5300.00,-3.29950824E-4,
5400.00,-3.64275184E-3,
5500.00,-5.47509117E-4,
5600.00,3.35545745E-4,
5700.00,-2.09746836E-3,
5800.00,-7.71430146E-4,
5900.00,-1.06987325E-4,
6000.00,-1.07494365E-4,
6100.00,1.22196693E-3,
6200.00,-1.07270178E-4,
6300.00,9.98907723E-4,
6400.00,-3.29439936E-4,
6500.00,-2.32824730E-3,
6600.00,7.78757909E-4,
6700.00,-1.07461339E-4,
6800.00,-2.98708910E-3,
6900.00,3.35512770E-4,
7000.00,9.98940668E-4,
7100.00,1.14009061E-4,
7200.00,-9.92527697E-4,
7300.00,-3.28593131E-4,
7400.00,-1.06547646E-4,
7500.00,9.98568372E-4,
7600.00,-3.29135364E-4,
7700.00,-1.44024391E-3,
7800.00,2.10624654E-3,
7900.00,-2.31925538E-3,
8000.00,1.00264000E-3,
8100.00,7.76708126E-4,
8200.00,1.66355388E-3,
8300.00,-2.76632863E-3,
8400.00,-5.47956268E-4,
8500.00,-3.27814691E-4,
8600.00,1.88529585E-3,
8700.00,1.22144714E-3,
8800.00,1.22141419E-3,
8900.00,-5.49836201E-4,
9000.00,1.88793906E-3,
9100.00,-9.93747381E-4,
9200.00,-2.97735678E-3,
9300.00,7.77325185E-4,
9400.00,5.57886786E-4,
9500.00,3.35613469E-4,
9600.00,1.22193398E-3,
9700.00,5.56800980E-4,
9800.00,1.44512323E-3,
9900.00,-7.70008483E-4,
1E04,7.79346272E-4,
1.01E04,-1.44024391E-3,
1.02E04,7.78236776E-4,
1.03E04,-5.48687356E-4,
1.04E04,1.66433188E-3,
1.05E04,5.57129155E-4,
1.06E04,-1.21135137E-3,
1.07E04,-2.54542287E-3,
1.08E04,1.88108382E-3,
1.09E04,5.56587707E-4,
1.1E04,1.44385535E-3,
1.11E04,-1.65507989E-3,
1.12E04,1.88453752E-3,
1.13E04,-5.49452903E-4,
1.14E04,-1.06672109E-4,
1.15E04,3.35716119E-4,
1.16E04,1.87767704E-3,
1.17E04,5.56915533E-4,
1.18E04,5.56080835E-4,
1.19E04,-1.06167608E-4,
1.2E04,2.10725004E-3,
1.21E04,-1.66084012E-3,
1.22E04,-3.29168397E-4,
1.23E04,-1.43351895E-3,
1.24E04,-2.98218243E-3,
1.25E04,-9.93714319E-4,
1.26E04,3.35545745E-4,
1.27E04,1.43752096E-3,
1.28E04,1.22092804E-3,
1.29E04,2.77622254E-3,
1.3E04,-3.20072914E-3,
1.31E04,-1.65612542E-3,
1.32E04,1.44126103E-3,
1.33E04,2.54300935E-3,
1.34E04,-7.73919572E-4,
1.35E04,1.44445593E-3,
1.36E04,5.57162217E-4,
1.37E04,5.56948478E-4,
1.38E04,5.57162217E-4,
1.39E04,1.14324997E-4,
1.4E04,-5.51758916E-4,
1.41E04,-2.31029443E-3,
1.42E04,-7.71861058E-4,
1.43E04,-2.10098783E-3,
1.44E04,9.98973614E-4,
1.45E04,-9.96193965E-4,
1.46E04,-2.09984649E-3,
1.47E04,5.56800980E-4,
1.48E04,-1.21854898E-3,
1.49E04,-1.43685797E-3,
1.5E04,-3.86683736E-3,
1.51E04,9.99346375E-4,
1.52E04,-1.43518683E-3,
1.53E04,3.21679004E-3,
1.54E04,-9.93170193E-4,
1.55E04,-2.31543998E-3,
1.56E04,-9.91277746E-4,
1.57E04,1.66507752E-3,
1.58E04,-9.95515264E-4,
1.59E04,1.44192507E-3,
1.6E04,-1.43689103E-3,
1.61E04,-7.73919572E-4,
1.62E04,2.10334035E-3,
1.63E04,3.35511053E-4,
1.64E04,-3.29135364E-4,
1.65E04,2.53944541E-3,
1.66E04,-1.07428335E-4,
1.67E04,5.56260580E-4,
1.68E04,5.57129155E-4,
1.69E04,-1.21275848E-3,
1.7E04,-5.49803255E-4,
1.71E04,1.87767693E-3,
1.72E04,-7.69909646E-4,
1.73E04,-3.27275135E-4,
1.74E04,1.14144743E-4,
1.75E04,-7.70437939E-4,
1.76E04,-2.98539689E-3,
1.77E04,3.35749151E-4,
1.78E04,-9.94325033E-4,
1.79E04,-9.95581388E-4,
1.8E04,-5.49102842E-4,
1.81E04,2.10721698E-3,
1.82E04,1.22089498E-3,
1.83E04,5.57129155E-4,
1.84E04,3.35478078E-4,
1.85E04,2.54774489E-3,
1.86E04,1.21830706E-3,
1.87E04,-2.10219645E-3,
1.88E04,1.22086203E-3,
1.89E04,1.44258980E-3,
1.9E04,-1.06705054E-4,
1.91E04,-1.43348600E-3,
1.92E04,-1.21351285E-3,
1.93E04,1.21934060E-3,
1.94E04,-1.08606204E-4,
1.95E04,-5.47923381E-4,
