Labels,NQ D 600 nm 400 us Delta OD KV 1_75 Ar 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

8040.00,-9.96204093E-4,
8080.00,-4.48589662E-6,
8120.00,6.50489936E-4,
8160.00,-1.16666051E-4,
8200.00,-1.14004593E-4,
8240.00,2.84968759E-3,
8280.00,1.42124423E-3,
8320.00,7.62558833E-4,
8360.00,-1.66340894E-3,
8400.00,-1.10433425E-3,
8440.00,-1.54893973E-3,
8480.00,2.11970764E-4,
8520.00,8.72111996E-4,
8560.00,-2.23332259E-4,
8600.00,5.41219895E-4,
8640.00,-1.17540374E-4,
8680.00,5.42171532E-4,
8720.00,-1.53985433E-3,
8760.00,1.42119837E-3,
8800.00,-9.75824514E-6,
8840.00,1.75109715E-3,
8880.00,3.23552580E-4,
8920.00,1.00908619E-4,
8960.00,-1.32611732E-3,
9000.00,-2.30615391E-4,
9040.00,2.13928462E-4,
9080.00,-1.54211291E-3,
9120.00,7.62293465E-4,
9160.00,-1.11095468E-3,
9200.00,7.63020245E-4,
9240.00,-6.67908753E-4,
9280.00,1.09127013E-3,
9320.00,-1.21245778E-3,
9360.00,1.64075161E-3,
9400.00,1.31107029E-3,
9440.00,1.05375191E-4,
9480.00,6.49791735E-4,
9520.00,7.62111507E-4,
9560.00,6.51541864E-4,
9600.00,7.60619820E-4,
9640.00,-1.18317461E-4,
9680.00,1.04082035E-4,
9720.00,-7.77588226E-4,
9760.00,-2.20900704E-3,
9800.00,6.52171788E-4,
9840.00,-1.17201344E-4,
9880.00,2.13320192E-4,
9920.00,1.00941463E-4,
9960.00,-8.14977011E-6,
1E04,-5.59202163E-4,
10040.000,-9.93008725E-4,
10080.000,1.09084114E-3,
10120.000,2.63113063E-3,
10160.000,-8.52707308E-6,
1.02E04,-6.61398342E-4,
10240.000,7.61200499E-4,
10280.000,-1.33038673E-3,
10320.000,-7.70145562E-4,
10360.000,-8.88908864E-4,
1.04E04,1.20112847E-3,
10440.000,-9.97360563E-4,
10480.000,2.12003477E-4,
10520.000,5.41901041E-4,
10560.000,1.53107930E-3,
1.06E04,-2.64067925E-3,
10640.000,-1.32615014E-3,
10680.000,7.60952360E-4,
10720.000,-1.17540498E-4,
10760.000,-1.32472999E-3,
1.08E04,2.62912875E-3,
10840.000,-5.56653365E-4,
10880.000,-8.87141854E-4,
10920.000,9.80734709E-4,
10960.000,2.11747640E-4,
1.1E04,-1.17201344E-4,
11040.000,-1.76490494E-3,
11080.000,-3.35088786E-4,
11120.000,-2.09229393E-3,
11160.000,-7.46135129E-6,
1.12E04,-2.74881045E-3,
11240.000,-1.43267657E-3,
11280.000,-1.21661404E-3,
11320.000,-2.42707273E-3,
11360.000,-2.31483835E-4,
1.14E04,2.62938626E-3,
11440.000,2.12003477E-4,
11480.000,1.02240643E-4,
11520.000,-2.09406903E-3,
11560.000,-5.54559811E-4,
1.16E04,-2.27182056E-4,
11640.000,-4.45538462E-4,
11680.000,-1.87015731E-3,
11720.000,-1.15116032E-4,
11760.000,-5.57168969E-4,
1.18E04,-4.41615615E-4,
11840.000,-3.37749487E-4,
11880.000,-8.81790998E-4,
11920.000,4.31080174E-4,
11960.000,2.13575404E-4,
1.2E04,5.42343769E-4,
12040.000,1.64105638E-3,
12080.000,4.31346154E-4,
12120.000,-1.17912532E-4,
12160.000,-7.76379544E-4,
1.22E04,-5.56104933E-4,
12240.000,-5.58750762E-4,
12280.000,-6.64280651E-6,
12320.000,4.30547720E-4,
12360.000,-4.46578953E-4,
1.24E04,6.53957832E-4,
12440.000,-6.67331798E-4,
12480.000,-1.11098750E-3,
12520.000,-7.79812457E-4,
12560.000,3.22087406E-4,
1.26E04,7.61681877E-4,
12640.000,-3.36434459E-4,
12680.000,-4.46968625E-4,
12720.000,-5.56653249E-4,
12760.000,-3.35974793E-4,
1.28E04,-7.78634159E-4,
12840.000,-1.10570760E-3,
12880.000,-4.45051381E-4,
12920.000,-7.72387779E-4,
12960.000,-3.35942139E-4,
1.3E04,-8.90445335E-6,
13040.000,4.31112916E-4,
13080.000,8.73067824E-4,
13120.000,4.34263464E-4,
13160.000,8.72233300E-4,
1.32E04,3.22120119E-4,
13240.000,2.30023405E-3,
13280.000,-1.76737085E-3,
13320.000,8.71869153E-4,
13360.000,-6.69989211E-4,
1.34E04,7.61350035E-4,
13440.000,2.09427599E-4,
13480.000,-1.65859703E-3,
13520.000,3.21761123E-4,
13560.000,1.31121022E-3,
1.36E04,1.31169334E-3,
13640.000,-2.09940551E-3,
13680.000,2.30099773E-3,
13720.000,-1.18788033E-4,
13760.000,-1.14309507E-4,
1.38E04,-1.65303994E-3,
13840.000,-8.88374401E-4,
13880.000,6.51266135E-4,
13920.000,4.32143454E-4,
13960.000,-8.87108967E-4,
1.4E04,-1.00056781E-3,
14040.000,8.71284283E-4,
14080.000,-7.77555397E-4,
14120.000,9.81274759E-4,
14160.000,8.71869153E-4,
1.42E04,-1.15181443E-4,
14240.000,-1.65152119E-3,
14280.000,-4.40710952E-4,
14320.000,-2.25487049E-4,
14360.000,1.31153397E-3,
1.44E04,-4.43138037E-4,
14440.000,-1.11751014E-3,
14480.000,3.22380714E-4,
14520.000,-1.65624567E-3,
14560.000,-1.10898446E-3,
1.46E04,5.42409194E-4,
14640.000,-6.66211708E-4,
14680.000,-8.85377347E-4,
14720.000,-7.76346715E-4,
14760.000,-1.10250467E-3,
1.48E04,6.52558461E-4,
14840.000,7.61200383E-4,
14880.000,7.61565112E-4,
14920.000,3.25338799E-4,
14960.000,-2.10495526E-3,
1.5E04,-1.10498792E-3,
15040.000,-4.44045058E-4,
15080.000,-5.54078142E-4,
15120.000,6.52250659E-4,
15160.000,-1.99160189E-3,
1.52E04,-2.30279795E-4,
15240.000,4.33469395E-4,
15280.000,-5.57103602E-4,
15320.000,-4.43591503E-4,
15360.000,-6.63564075E-4,
1.54E04,-2.75208545E-3,
15440.000,-6.70021924E-4,
15480.000,-2.21184641E-3,
15520.000,7.60286988E-4,
15560.000,-3.33188480E-4,
1.56E04,-1.10767304E-3,
15640.000,-6.64040737E-4,
15680.000,-7.87099088E-6,
15720.000,-7.69577513E-4,
15760.000,-3.36828874E-4,
1.58E04,-4.44564561E-4,
15840.000,-1.43864658E-3,
15880.000,-1.14745366E-4,
15920.000,3.21793777E-4,
15960.000,-4.44012432E-4,
1.6E04,-4.47489496E-4,
16040.000,-3.36894504E-4,
16080.000,-1.87687937E-3,
16120.000,-4.47522325E-4,
16160.000,-6.70021924E-4,
1.62E04,1.02524289E-4,
16240.000,3.22087319E-4,
16280.000,4.33502224E-4,
16320.000,-1.98906101E-3,
16360.000,7.62409763E-4,
1.64E04,-1.11095444E-3,
16440.000,5.42376423E-4,
16480.000,-1.98110193E-3,
16520.000,-2.19692755E-3,
16560.000,-6.66277367E-4,
1.66E04,9.81274759E-4,
16640.000,-1.19566335E-4,
16680.000,-7.71786144E-4,
16720.000,2.10749582E-4,
16760.000,1.42107182E-3,
1.68E04,-7.76918256E-4,
16840.000,1.20113394E-3,
16880.000,2.07938463E-3,
16920.000,7.62773328E-4,
16960.000,2.11714825E-4,
1.7E04,-1.00185920E-3,
17040.000,1.86103676E-3,
17080.000,-8.86575202E-4,
17120.000,9.80325043E-4,
17160.000,-1.54517207E-3,
1.72E04,-1.16359952E-4,
17240.000,5.40948822E-4,
17280.000,-1.21521635E-3,
17320.000,-9.97360563E-4,
17360.000,-5.59752050E-4,
1.74E04,-4.46513470E-4,
17440.000,2.08014040E-3,
17480.000,-7.42854490E-6,
17520.000,2.12711311E-4,
17560.000,-4.47001279E-4,
1.76E04,-8.97002064E-6,
17640.000,5.41695917E-4,
17680.000,-1.98636018E-3,
17720.000,-4.45018610E-4,
17760.000,-4.45083890E-4,
1.78E04,2.15495675E-4,
17840.000,-1.54977327E-3,
17880.000,-1.87599647E-3,
17920.000,1.09150039E-3,
17960.000,1.20130868E-3,
1.8E04,-1.87090621E-3,
18040.000,1.20180426E-3,
18080.000,5.42106049E-4,
18120.000,-1.32402033E-3,
18160.000,-4.42619435E-4,
1.82E04,-2.75640446E-3,
18240.000,-2.20810552E-3,
18280.000,2.12966799E-4,
18320.000,2.14536209E-4,
18360.000,3.22706677E-4,
1.84E04,-1.54593808E-3,
18440.000,1.42106286E-3,
18480.000,-6.70816144E-6,
18520.000,-2.26815333E-4,
18560.000,1.86068553E-3,
1.86E04,-5.82486518E-6,
18640.000,3.25014262E-4,
18680.000,6.52139075E-4,
18720.000,-8.84778798E-4,
18760.000,5.42916823E-4,
1.88E04,5.39994740E-4,
18840.000,5.42646623E-4,
18880.000,-8.89007293E-4,
18920.000,-4.46058577E-4,
18960.000,-6.67908753E-4,
1.9E04,2.12678511E-4,
19040.000,-8.87207163E-4,
19080.000,-6.66277367E-4,
19120.000,5.41901041E-4,
19160.000,8.71649361E-4,
1.92E04,5.42105932E-4,
19240.000,-2.75198719E-3,
19280.000,-8.85410002E-4,
19320.000,2.12678613E-4,
19360.000,1.20123231E-3,
1.94E04,6.50667585E-4,
19440.000,-7.75171968E-4,
19480.000,-5.54045371E-4,
19520.000,-1.15083269E-4,
19560.000,-4.47522325E-4,
1.96E04,-5.55556908E-4,
