Labels,MOF 2 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,2.56803026E-3,
4.00,2.84339651E-3,
8.00,2.56164744E-3,
12.00,1.29299844E-3,
16.00,-8.38009757E-4,
20.00,-1.09905691E-3,
24.00,4.83175303E-4,
28.00,2.07213991E-4,
32.00,-8.30019184E-4,
36.00,9.96737275E-4,
40.00,1.76771393E-3,
44.00,4.56487556E-4,
48.00,-3.17314011E-3,
52.00,9.73121030E-4,
56.00,2.82149389E-3,
60.00,7.46866572E-4,
64.00,5.68922237E-3,
68.00,2.07520067E-3,
72.00,1.78282801E-3,
76.00,1.24815688E-3,
80.00,2.17283174E-4,
84.00,-5.73455938E-4,
88.00,-8.44047347E-4,
92.00,-5.11121361E-5,
96.00,9.86428349E-4,
100.00,2.28395546E-3,
104.00,2.32065562E-3,
108.00,7.33486668E-4,
112.00,-5.69184078E-4,
116.00,-8.39855347E-4,
120.00,-4.70474879E-5,
124.00,-3.13837692E-4,
128.00,-1.09665107E-3,
132.00,2.57314392E-3,
136.00,9.97770694E-4,
140.00,1.26822200E-3,
144.00,4.68872720E-4,
148.00,1.75879360E-3,
152.00,2.30378238E-3,
156.00,-1.61549821E-3,
160.00,4.64897417E-3,
164.00,2.33122031E-3,
168.00,2.29765032E-3,
172.00,7.44237506E-4,
176.00,-3.19778430E-3,
180.00,-5.52655023E-4,
184.00,2.09339865E-4,
188.00,-4.01862417E-5,
192.00,2.31079687E-3,
196.00,-1.62985944E-3,
200.00,2.32709688E-3,
204.00,-8.23403650E-4,
208.00,2.04756646E-3,
212.00,-1.34262489E-3,
216.00,-8.45587172E-4,
220.00,-2.65357457E-3,
224.00,-3.72655294E-3,
228.00,-1.34765054E-3,
232.00,-1.60636695E-3,
236.00,-1.90198654E-3,
240.00,2.02715117E-3,
244.00,-1.08452991E-3,
248.00,2.82180682E-3,
252.00,2.19249836E-4,
256.00,-8.28350894E-4,
260.00,-3.72309983E-3,
264.00,-2.91872444E-3,
268.00,2.84392876E-3,
272.00,-2.95949262E-3,
276.00,2.30579614E-3,
280.00,2.13739520E-4,
284.00,-1.37419580E-3,
288.00,1.27069594E-3,
292.00,-3.16048437E-3,
296.00,1.01313251E-3,
300.00,-1.62440049E-3,
304.00,-2.15198100E-3,
308.00,-8.46076233E-4,
312.00,4.72930144E-4,
316.00,1.79318956E-3,
320.00,-1.37524994E-3,
324.00,-3.15386424E-4,
328.00,-8.27358570E-4,
332.00,4.89000289E-4,
336.00,-1.61306188E-3,
340.00,3.09058442E-3,
344.00,2.55633169E-3,
348.00,3.35272239E-3,
352.00,9.77363670E-4,
356.00,-3.03157140E-4,
360.00,-5.70414471E-4,
364.00,7.44093326E-4,
368.00,-1.10987935E-3,
372.00,1.25591201E-3,
376.00,2.29913322E-3,
380.00,1.52128353E-3,
384.00,-1.61878858E-3,
388.00,3.34480125E-3,
392.00,1.00121379E-3,
396.00,1.27527467E-3,
400.00,2.82616843E-3,
404.00,2.03050207E-3,
408.00,-2.99929059E-4,
412.00,-1.36720494E-3,
416.00,-1.08835555E-3,
420.00,1.03127200E-3,
424.00,-6.50579095E-5,
428.00,-2.92491517E-3,
432.00,7.23254750E-4,
436.00,1.98660360E-4,
440.00,-8.34376260E-4,
444.00,1.52059586E-3,
448.00,-1.06698670E-3,
452.00,-3.71119706E-3,
456.00,-8.29584256E-4,
460.00,2.59159901E-3,
464.00,-8.25333700E-4,
468.00,-2.30307724E-5,
472.00,-2.40899879E-3,
476.00,-5.67094015E-4,
480.00,-3.03580193E-4,
484.00,2.55078031E-3,
488.00,-2.92473380E-3,
492.00,-2.64368812E-3,
496.00,-3.17486306E-3,
500.00,-2.65347492E-3,
504.00,-8.25406809E-4,
508.00,1.26136094E-3,
512.00,-1.08448975E-3,
516.00,-4.73784795E-3,
520.00,-5.34332721E-5,
524.00,-1.35505188E-3,
528.00,-5.82736866E-5,
532.00,4.76914429E-4,
536.00,-1.61341124E-3,
540.00,2.31552008E-3,
544.00,-1.63842901E-3,
548.00,2.17620138E-4,
552.00,-1.09817262E-3,
556.00,4.13259910E-3,
560.00,4.89157275E-4,
564.00,-3.12544551E-4,
568.00,2.06902949E-3,
572.00,-4.55613699E-5,
576.00,3.07665276E-3,
580.00,-2.38342956E-3,
584.00,-1.63835404E-3,
588.00,-1.09445082E-3,
592.00,-1.37530791E-3,
596.00,2.03118747E-4,
600.00,1.76945166E-3,
604.00,2.29032547E-3,
608.00,1.76660542E-3,
612.00,-1.09057396E-3,
616.00,2.58275098E-3,
620.00,-5.81478991E-4,
624.00,1.25584286E-3,
628.00,4.64331359E-4,
632.00,-3.08942166E-4,
636.00,-8.33088241E-4,
640.00,-2.98323372E-4,
644.00,3.08899768E-3,
648.00,-2.12990493E-3,
652.00,2.03650375E-3,
656.00,2.17680848E-4,
660.00,4.75109642E-4,
664.00,1.24812895E-3,
668.00,7.52944441E-4,
672.00,-2.92520761E-3,
676.00,-1.36316952E-3,
680.00,-5.05950666E-5,
684.00,9.89547581E-4,
688.00,2.83525232E-3,
692.00,3.34659452E-3,
696.00,1.53494324E-3,
700.00,2.11573075E-4,
704.00,-5.06621109E-5,
708.00,7.39797077E-4,
712.00,7.47925427E-4,
716.00,1.00861001E-3,
720.00,4.65083169E-3,
724.00,4.87088982E-4,
728.00,3.61614861E-3,
732.00,2.08856276E-4,
736.00,1.53422763E-3,
740.00,-1.08479627E-3,
744.00,1.50294660E-3,
748.00,-1.09351368E-3,
752.00,4.62567783E-4,
756.00,-4.78490729E-5,
760.00,3.34162777E-3,
764.00,3.33479396E-3,
768.00,9.94244940E-4,
772.00,-1.87612395E-3,
776.00,2.09302554E-4,
780.00,-2.93506007E-3,
784.00,-3.02387634E-4,
788.00,1.25119160E-3,
792.00,-8.62122513E-4,
796.00,1.78528053E-3,
800.00,2.53927521E-3,
804.00,-5.70363540E-4,
808.00,1.76206371E-3,
812.00,7.45010911E-4,
816.00,2.56474921E-3,
820.00,-3.53675896E-5,
824.00,2.05968227E-3,
828.00,-3.22502638E-5,
832.00,2.82443408E-3,
836.00,-8.38331180E-4,
840.00,2.31635408E-4,
844.00,-1.61725574E-3,
848.00,3.10898339E-3,
852.00,9.79695469E-4,
856.00,-2.40931450E-3,
860.00,-3.09311174E-4,
864.00,-8.44647642E-4,
