Labels,MOF 1 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

852.00,1.53485220E-3,
856.00,-2.21357006E-3,
860.00,-7.13261019E-4,
864.00,-6.02723612E-3,
868.00,2.29101442E-3,
872.00,-2.26702797E-3,
876.00,-7.52819527E-4,
880.00,-5.27104316E-3,
884.00,2.30611232E-3,
888.00,2.27786880E-3,
892.00,6.06845738E-3,
896.00,7.44221383E-4,
900.00,-3.45994660E-4,
904.00,3.38753755E-3,
908.00,-3.82494036E-4,
912.00,-3.77411442E-3,
916.00,-2.27734772E-3,
920.00,3.80856427E-3,
924.00,-1.89543073E-3,
928.00,2.67574542E-5,
932.00,3.82917910E-3,
936.00,1.16511877E-3,
940.00,2.64633680E-3,
944.00,-7.33972760E-4,
948.00,-2.24109925E-3,
952.00,-1.10404391E-3,
956.00,1.16411888E-3,
960.00,-2.62086489E-3,
964.00,7.93074141E-4,
968.00,3.43410939E-5,
972.00,4.61125965E-5,
976.00,7.86362856E-4,
980.00,4.20438731E-3,
984.00,-1.47490448E-3,
988.00,1.94487756E-3,
992.00,-5.41527299E-7,
996.00,-1.85413368E-3,
1000.00,-3.84535757E-4,
1004.000,-3.41783836E-3,
1008.000,-7.15926581E-4,
1012.000,3.86598171E-4,
1016.000,1.07294418E-5,
1020.00,-3.76441469E-3,
1024.000,-4.52663656E-3,
1028.000,-7.34736968E-4,
1032.000,-1.86984357E-3,
1036.000,2.99696531E-3,
1040.00,-2.23956537E-3,
1044.000,-4.12180461E-3,
1048.000,1.49761687E-3,
1052.000,-3.38083599E-3,
1056.000,-7.45823840E-4,
1060.00,3.77014403E-5,
1064.000,3.41896922E-3,
1068.000,1.89011346E-3,
1072.000,-1.08074653E-3,
1076.000,1.56152877E-3,
1080.00,-2.24008388E-3,
1084.000,3.92261805E-4,
1088.000,1.54518802E-3,
1092.000,-1.48164062E-3,
1096.000,2.27462873E-3,
1100.00,-1.45712332E-3,
1104.000,-3.78530449E-3,
1108.000,-1.88383972E-3,
1112.000,-3.78168467E-3,
1116.000,-1.86621153E-3,
1120.00,2.65924307E-3,
1124.000,7.13455724E-3,
1128.000,4.57996223E-3,
1132.000,-3.94365808E-4,
1136.000,-2.22124648E-3,
1140.00,4.95605855E-5,
1144.000,1.91251398E-3,
1148.000,-5.97987371E-3,
1152.000,-3.73691577E-3,
1156.000,-6.40831236E-3,
1160.00,-2.22962745E-3,
1164.000,-1.47610356E-3,
1168.000,3.82658350E-3,
1172.000,4.55338880E-3,
1176.000,-3.35200271E-3,
1180.00,1.62701363E-5,
1184.000,-1.88356615E-3,
1188.000,4.56530973E-3,
1192.000,7.68295664E-4,
1196.000,-1.49608857E-3,
1200.00,1.12741045E-3,
1204.000,3.01680039E-3,
1208.000,-1.49488507E-3,
1212.000,1.14509824E-3,
1216.000,2.67961156E-3,
1220.00,8.03886913E-4,
1224.000,3.06095416E-3,
1228.000,3.43379099E-3,
1232.000,7.91078957E-4,
1236.000,-7.69494800E-4,
1240.00,-3.37201520E-4,
1244.000,2.29146448E-3,
1248.000,1.95136899E-3,
1252.000,3.43504990E-3,
1256.000,1.92503934E-3,
1260.00,-3.61399958E-4,
1264.000,6.58766221E-5,
1268.000,1.51981402E-3,
1272.000,4.04397782E-4,
1276.000,4.57228953E-3,
1280.00,-1.49667333E-3,
1284.000,3.98179691E-4,
1288.000,1.27638650E-5,
1292.000,5.32348594E-3,
1296.000,-3.75487027E-4,
1300.00,1.50442074E-5,
1304.000,-1.12007174E-3,
1308.000,4.19136515E-4,
1312.000,6.51063820E-5,
1316.000,-3.00415978E-3,
1320.00,3.45295598E-3,
1324.000,7.91069702E-4,
1328.000,-3.57232639E-4,
