Labels,MOF 2 O2  420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,9.88524524E-4,
1.00,-3.16475402E-3,
2.00,-2.64493923E-4,
3.00,2.29295809E-4,
4.00,-1.35462545E-3,
5.00,-8.17059947E-4,
6.00,-5.14242798E-4,
7.00,2.35435623E-3,
8.00,1.27406290E-3,
9.00,-1.58536888E-3,
10.00,-5.36766252E-4,
11.00,5.55422681E-4,
12.00,1.04191888E-3,
13.00,1.01931463E-3,
14.00,-5.59249485E-4,
15.00,8.09898949E-4,
16.00,-4.32470624E-5,
17.00,-7.88426260E-4,
18.00,2.39541012E-4,
19.00,8.07862845E-4,
20.00,-3.13666300E-4,
21.00,-1.61192543E-3,
22.00,-2.06897152E-3,
23.00,-2.84960319E-4,
24.00,7.56493944E-4,
25.00,5.12339699E-4,
26.00,-1.06033136E-3,
27.00,2.41652640E-4,
28.00,-2.16278085E-3,
29.00,4.89802100E-4,
30.00,1.51864591E-3,
31.00,-2.76758248E-4,
32.00,-2.78828316E-4,
33.00,-2.58258325E-7,
34.00,7.91417900E-4,
35.00,-1.04200689E-3,
36.00,-2.14030268E-3,
37.00,-1.57925521E-3,
38.00,-5.79780026E-4,
39.00,-8.15031468E-4,
40.00,5.12300583E-4,
41.00,-2.74727237E-4,
42.00,-1.84868113E-3,
43.00,2.35435087E-4,
44.00,-2.38295086E-3,
45.00,2.72350706E-4,
46.00,-2.37883069E-3,
47.00,-1.10126624E-3,
48.00,-1.83844590E-3,
49.00,4.97940578E-4,
50.00,-2.99294014E-4,
51.00,1.54543365E-3,
52.00,1.28433283E-3,
53.00,-2.48405595E-5,
54.00,-7.63887132E-4,
55.00,-1.34235248E-3,
56.00,-1.07062398E-3,
57.00,1.26583152E-3,
58.00,1.01108802E-3,
59.00,1.32133777E-3,
60.00,4.77438211E-4,
61.00,1.54131535E-3,
62.00,1.00905099E-3,
63.00,-1.02972519E-3,
64.00,4.91758459E-4,
65.00,1.25763949E-3,
66.00,3.86307365E-5,
67.00,-5.85907779E-4,
68.00,4.89723869E-4,
69.00,-1.34231360E-3,
70.00,-1.32809218E-3,
71.00,1.98561684E-4,
72.00,-1.58536888E-3,
73.00,-1.33011828E-3,
74.00,-2.38089077E-3,
75.00,-3.07534705E-4,
76.00,-1.54459651E-3,
77.00,-1.56293879E-3,
78.00,1.73929031E-4,
79.00,1.60713424E-3,
80.00,-1.88541692E-3,
81.00,-7.98647234E-4,
82.00,2.21123293E-4,
83.00,-2.70665187E-4,
84.00,-5.51130681E-4,
85.00,-1.36483309E-3,
86.00,1.03369192E-3,
87.00,-5.61357243E-4,
88.00,-1.05834298E-3,
89.00,-8.00714770E-4,
90.00,4.85654688E-4,
91.00,2.55834591E-3,
92.00,-5.28607983E-4,
93.00,1.84986391E-3,
94.00,-1.84661860E-3,
95.00,-3.03433888E-4,
96.00,2.55925988E-4,
97.00,-6.79050863E-5,
98.00,5.53348684E-4,
99.00,4.91836690E-4,
100.00,1.53927587E-3,
101.00,2.40170932E-3,
102.00,2.56039016E-3,
103.00,-5.61357243E-4,
104.00,7.70862505E-4,
105.00,2.64488370E-3,
106.00,-2.60431785E-4,
107.00,1.04191888E-3,
108.00,-2.62328796E-3,
109.00,7.87306752E-4,
110.00,4.56897717E-4,
111.00,7.87267578E-4,
112.00,5.02048992E-4,
113.00,-1.60783692E-3,
114.00,-2.78828316E-4,
115.00,1.81905413E-3,
116.00,7.33943656E-4,
117.00,5.12300583E-4,
118.00,-1.07873301E-3,
119.00,-8.55950406E-4,
120.00,1.02961762E-3,
121.00,-2.58322572E-4,
122.00,1.80461165E-3,
123.00,-1.07265124E-3,
124.00,2.23156632E-4,
125.00,-6.37238700E-5,
126.00,1.57626334E-3,
127.00,3.69966333E-3,
128.00,-2.74766295E-4,
129.00,9.80298617E-4,
130.00,-5.51091623E-4,
131.00,3.46048801E-5,
132.00,2.49825534E-4,
133.00,1.51868514E-3,
134.00,-1.58743269E-3,
135.00,-7.82262359E-4,
136.00,1.26379333E-3,
137.00,-3.19758750E-4,
138.00,-2.41995425E-4,
139.00,7.56493944E-4,
140.00,-5.36805252E-4,
141.00,-1.86658035E-5,
142.00,-1.85479096E-3,
143.00,9.82335419E-4,
144.00,2.51819903E-4,
145.00,-5.12251921E-4,
146.00,-5.85907779E-4,
147.00,7.64715660E-4,
148.00,-1.33214437E-3,
149.00,1.01727759E-3,
150.00,4.34323854E-4,
151.00,1.88899750E-3,
152.00,-1.59759598E-3,
153.00,-2.68727381E-5,
154.00,-2.66201701E-3,
155.00,1.59889658E-3,
156.00,1.02961762E-3,
157.00,1.00905099E-3,
158.00,-2.39713769E-3,
159.00,1.05425972E-3,
160.00,-5.38796012E-4,
161.00,4.97979694E-4,
162.00,2.47752992E-4,
163.00,-5.26539108E-4,
164.00,1.00909022E-3,
165.00,1.30695093E-3,
166.00,-5.65416529E-4,
167.00,-8.19127425E-4,
168.00,-8.02743365E-4,
169.00,-1.32193591E-3,
170.00,-8.37500324E-4,
171.00,-2.09549838E-3,
172.00,-2.10366608E-3,
173.00,1.01108802E-3,
174.00,-2.10564979E-3,
175.00,2.19011767E-4,
176.00,-2.33792554E-4,
177.00,1.79432950E-3,
178.00,-5.18341607E-4,
179.00,-2.11996236E-3,
180.00,2.25189986E-4,
181.00,2.05982104E-3,
182.00,1.82309665E-3,
183.00,1.47962419E-3,
184.00,-2.28083718E-5,
185.00,-5.16311731E-4,
186.00,1.40462334E-5,
187.00,1.01927551E-3,
188.00,1.22271723E-3,
189.00,-6.39419341E-6,
190.00,-7.96618639E-4,
191.00,-2.68634147E-4,
192.00,1.81697414E-3,
193.00,5.32804581E-4,
194.00,-1.12578634E-3,
195.00,2.27262441E-4,
196.00,-1.45622789E-5,
197.00,1.00286165E-3,
198.00,-5.51130681E-4,
199.00,-1.07058499E-3,
200.00,-1.58536888E-3,
201.00,5.00053458E-4,
202.00,-5.44963405E-4,
203.00,-1.30354462E-3,
204.00,-1.87048845E-5,
205.00,-1.08290452E-3,
206.00,2.57998618E-4,
207.00,2.62104761E-4,
208.00,-1.60374830E-3,
209.00,1.01108802E-3,
210.00,-1.32805319E-3,
211.00,-1.08902517E-3,
212.00,-5.55229140E-4,
213.00,1.27406290E-3,
214.00,1.53311819E-3,
215.00,-1.32189691E-3,
