Labels,VMOF  O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

214.00,6.59218524E-4,
215.00,1.23932085E-3,
216.00,1.88198243E-3,
217.00,-1.26711981E-4,
218.00,-1.26772124E-4,
219.00,-7.34937203E-4,
220.00,6.25290486E-5,
221.00,6.62382110E-4,
222.00,4.44420642E-4,
223.00,-7.27068633E-4,
224.00,-3.39558464E-4,
225.00,-5.27031894E-4,
226.00,1.87723886E-3,
227.00,-8.87656119E-4,
228.00,-1.53537767E-4,
229.00,1.03540639E-4,
230.00,-1.81374827E-3,
231.00,9.02549480E-4,
232.00,1.09067129E-3,
233.00,1.45134295E-3,
234.00,1.05430104E-3,
235.00,-9.55320487E-4,
236.00,6.84467494E-4,
237.00,5.30515026E-5,
238.00,6.54458127E-4,
239.00,4.83872136E-4,
240.00,6.84467494E-4,
241.00,-7.58542214E-4,
242.00,1.28677988E-3,
243.00,-1.15704504E-4,
244.00,1.65075506E-3,
245.00,1.51461351E-3,
246.00,-1.37218146E-3,
247.00,6.98719639E-4,
248.00,8.85125424E-4,
249.00,8.89918476E-4,
250.00,4.44420642E-4,
251.00,-3.33245815E-4,
252.00,-1.58289244E-4,
253.00,-1.93625956E-3,
254.00,-1.58259165E-4,
255.00,1.08117133E-3,
256.00,1.47349865E-3,
257.00,4.52340784E-4,
258.00,6.88174405E-5,
259.00,-1.13157660E-3,
260.00,-1.70919506E-4,
261.00,-1.53567831E-4,
262.00,4.74445609E-4,
263.00,4.72849439E-4,
264.00,-1.63010598E-4,
265.00,-7.30222091E-4,
266.00,4.68121230E-4,
267.00,1.89467252E-3,
268.00,2.51852587E-4,
269.00,2.67625728E-4,
270.00,6.57621655E-4,
271.00,2.64465052E-4,
272.00,-1.36429444E-3,
273.00,1.05746742E-3,
274.00,-7.64878700E-4,
275.00,1.09537621E-3,
276.00,-5.64859423E-4,
277.00,-7.36528949E-4,
278.00,-5.63297071E-4,
279.00,2.67655851E-4,
280.00,6.86064421E-4,
281.00,4.44420642E-4,
282.00,1.29942247E-3,
283.00,-1.10322086E-3,
284.00,-1.14573888E-3,
285.00,-9.80534358E-4,
286.00,-1.11270300E-3,
287.00,-1.03072634E-4,
288.00,-1.53537767E-4,
289.00,-1.16305088E-3,
290.00,-9.56911419E-4,
291.00,-2.94002844E-3,
292.00,7.51360203E-5,
293.00,8.67762312E-4,
294.00,-9.42743034E-4,
295.00,-9.67897591E-4,
296.00,2.91286560E-4,
297.00,2.61334470E-4,
298.00,2.86841393E-3,
299.00,-9.25422180E-4,
300.00,6.37074176E-4,
301.00,3.56915734E-5,
302.00,-3.14337434E-4,
303.00,6.82900660E-4,
304.00,-1.36273494E-3,
305.00,-5.61704743E-4,
306.00,-1.33289467E-3,
307.00,-1.20396246E-4,
308.00,-5.88473631E-4,
309.00,2.51882680E-4,
310.00,-1.55131624E-4,
311.00,-1.25148086E-4,
312.00,-7.91635073E-4,
313.00,-5.41243877E-4,
314.00,-2.16860650E-3,
315.00,-3.11211013E-4,
316.00,4.93359054E-4,
317.00,2.67625728E-4,
318.00,2.42401002E-4,
319.00,-1.73995527E-3,
320.00,-1.29869804E-4,
321.00,-1.40937074E-4,
322.00,6.75006479E-4,
323.00,-1.54194352E-3,
324.00,-5.34934225E-4,
325.00,2.32919512E-4,
326.00,-1.61386692E-4,
327.00,2.84964830E-4,
328.00,2.10066675E-3,
329.00,1.88041129E-3,
330.00,8.51937220E-4,
331.00,6.88475338E-5,
