Labels,VMOF  Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

852.00,-2.00801902E-3,
856.00,3.34281311E-3,
860.00,-1.41762348E-3,
864.00,9.76198469E-4,
868.00,2.16043484E-3,
872.00,-2.61060125E-3,
876.00,9.66858002E-4,
880.00,9.37451841E-4,
884.00,-3.20211099E-3,
888.00,3.34268715E-3,
892.00,3.74310563E-4,
896.00,-2.22787974E-4,
900.00,5.74386073E-3,
904.00,4.52552177E-3,
908.00,9.66088672E-4,
912.00,2.17276975E-3,
916.00,3.76894022E-4,
920.00,2.74422159E-3,
924.00,-1.42371806E-3,
928.00,9.45511681E-4,
932.00,-7.87549827E-4,
936.00,9.63574043E-4,
940.00,3.76961223E-4,
944.00,-8.40411696E-4,
948.00,1.52735657E-3,
952.00,1.55564526E-3,
956.00,1.54637767E-3,
960.00,1.53667526E-3,
964.00,-2.50630022E-4,
968.00,-8.31037469E-4,
972.00,3.94945825E-3,
976.00,-1.44496141E-3,
980.00,3.37934447E-3,
984.00,-1.99560731E-4,
988.00,-2.57651531E-3,
992.00,-3.20681208E-3,
996.00,2.14739563E-3,
1000.00,3.34748463E-3,
1004.000,-2.05007941E-3,
1008.000,-8.26359377E-4,
1012.000,2.12602550E-3,
1016.000,-2.36572028E-4,
1020.00,-8.49802396E-4,
1024.000,-2.02232390E-3,
1028.000,-4.45437990E-3,
1032.000,-3.18626943E-3,
1036.000,2.14354810E-3,
1040.00,3.96583928E-3,
1044.000,9.41566715E-4,
1048.000,-2.02687946E-3,
1052.000,-1.98459532E-3,
1056.000,1.55573548E-3,
1060.00,3.30792461E-3,
1064.000,-2.03136890E-3,
1068.000,1.52779010E-3,
1072.000,9.58804740E-4,
1076.000,3.92494397E-3,
1080.00,-2.55307928E-3,
1084.000,-1.39587023E-3,
1088.000,-2.32011007E-4,
1092.000,-8.20191926E-4,
1096.000,2.10818020E-3,
1100.00,2.75978725E-3,
1104.000,3.92279495E-3,
1108.000,3.83274601E-4,
