Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

424.00,-1.41046545E-3,
426.00,-2.49913381E-3,
428.00,-6.16067380E-4,
430.00,-6.01534732E-4,
432.00,-2.98459735E-3,
434.00,9.95900366E-4,
436.00,4.50264692E-4,
438.00,-6.09850453E-4,
440.00,-9.88490501E-5,
442.00,2.13071238E-4,
444.00,2.30648345E-3,
446.00,-6.45131222E-4,
448.00,-1.39184855E-3,
450.00,1.56717468E-3,
452.00,-7.38719464E-5,
454.00,-1.40010961E-3,
456.00,-1.39180897E-3,
458.00,-1.66323641E-3,
460.00,-1.12650055E-3,
462.00,-1.37935777E-3,
464.00,2.33781873E-3,
466.00,2.02716561E-4,
468.00,-1.92825682E-3,
470.00,4.71065490E-4,
472.00,4.66936996E-4,
474.00,-3.64785868E-4,
476.00,1.26267190E-3,
478.00,-1.64664513E-3,
480.00,1.23976532E-3,
482.00,-5.95317630E-4,
484.00,7.27147621E-4,
486.00,-1.13480620E-3,
488.00,-1.13686279E-3,
490.00,-1.15762628E-3,
492.00,-1.90137117E-3,
494.00,-1.67567958E-3,
496.00,-5.93211371E-5,
498.00,7.18806346E-4,
500.00,9.81274410E-4,
502.00,2.06616265E-3,
504.00,-3.58565361E-4,
506.00,1.54429174E-3,
508.00,1.79260597E-3,
510.00,1.27309165E-3,
512.00,1.51922135E-3,
514.00,-6.01574313E-4,
516.00,-9.67478554E-5,
518.00,1.59013842E-3,
520.00,-3.54365475E-4,
522.00,1.86014731E-4,
524.00,-8.42990703E-5,
526.00,1.90180217E-4,
528.00,-2.44949292E-3,
530.00,-6.20225153E-4,
532.00,-1.37730222E-3,
534.00,4.44032601E-4,
536.00,-1.11609837E-3,
538.00,-6.36855781E-4,
540.00,-1.39390398E-3,
542.00,7.41765019E-4,
544.00,-1.38979312E-3,
546.00,4.64872777E-4,
548.00,-1.41671044E-3,
550.00,4.21050843E-3,
552.00,-3.08718852E-4,
554.00,2.03277543E-3,
556.00,-6.11909607E-4,
558.00,1.77170197E-3,
560.00,1.80303841E-3,
562.00,1.27102365E-3,
564.00,-2.71817180E-3,
566.00,2.87533412E-3,
568.00,4.23193414E-4,
570.00,-1.91167556E-3,
572.00,4.39864671E-4,
574.00,2.33993167E-3,
576.00,-8.77572107E-4,
578.00,2.32526055E-3,
580.00,7.29252817E-4,
582.00,-1.23785067E-4,
584.00,4.39864671E-4,
586.00,1.49833050E-3,
588.00,-8.46465817E-4,
590.00,-1.66323641E-3,
592.00,1.78217376E-3,
594.00,1.25018449E-3,
596.00,4.12794034E-4,
598.00,-8.17415421E-4,
600.00,-2.20550410E-3,
602.00,-8.65106122E-4,
604.00,-5.66250412E-4,
606.00,-2.49085412E-3,
608.00,-3.46084475E-4,
610.00,-1.00870937E-4,
612.00,-1.96753605E-3,
614.00,-8.29843222E-4,
616.00,-1.66943832E-3,
618.00,-1.97896279E-5,
620.00,7.31318258E-4,
622.00,1.71455700E-4,
624.00,-8.67163995E-4,
626.00,-6.14225064E-5,
628.00,4.35696798E-4,
630.00,-8.85882590E-4,
632.00,1.55467843E-3,
634.00,-1.66529056E-3,
636.00,-3.19100713E-4,
638.00,-9.87697567E-5,
640.00,7.23016681E-4,
642.00,2.06842538E-4,
644.00,-7.80349001E-5,
646.00,-1.41042587E-3,
648.00,-3.48184461E-4,
650.00,4.77337657E-4,
652.00,1.81849289E-4,
654.00,-1.39801472E-3,
656.00,9.75034665E-4,
658.00,-5.89100411E-4,
660.00,-1.91996631E-3,
662.00,7.39659765E-4,
664.00,-8.67203576E-4,
666.00,-8.96290236E-4,
668.00,-1.09952560E-3,
670.00,2.31481553E-3,
672.00,-8.84222754E-5,
674.00,3.14541999E-3,
676.00,2.06823461E-3,
678.00,-2.22412567E-3,
680.00,3.64826503E-3,
682.00,2.85856915E-3,
684.00,7.12570443E-4,
686.00,4.21891687E-3,
688.00,-8.52679310E-4,
690.00,-1.95308798E-3,
692.00,1.25432038E-3,
694.00,1.00003381E-3,
696.00,-1.13887992E-3,
698.00,-3.46124085E-4,
700.00,-3.50244809E-4,
702.00,1.27309165E-3,
704.00,-3.41924082E-4,
706.00,-1.12025137E-3,
708.00,-6.55459298E-5,
710.00,1.77683891E-4,
712.00,1.80721947E-3,
714.00,-1.66323641E-3,
716.00,-8.21978101E-5,
718.00,1.23972551E-3,
720.00,-3.00397340E-4,
722.00,-1.63424062E-3,
724.00,2.17197303E-4,
726.00,-1.14307215E-3,
728.00,-8.42990703E-5,
730.00,-5.74527250E-4,
732.00,-4.68316284E-5,
734.00,-1.14718534E-3,
736.00,-2.45777355E-3,
738.00,-6.97486103E-5,
740.00,-8.77572107E-4,
742.00,-3.02457920E-4,
744.00,-1.17625319E-3,
746.00,6.83377788E-4,
748.00,1.92282809E-4,
750.00,7.45935831E-4,
752.00,1.80514879E-3,
754.00,1.98550959E-4,
756.00,-3.52344767E-4,
758.00,4.60664975E-4,
760.00,-6.07751776E-4,
762.00,4.66897298E-4,
764.00,2.86068465E-3,
766.00,1.98550959E-4,
768.00,-6.16106961E-4,
770.00,-8.84619221E-5,
772.00,-1.11609837E-3,
774.00,-6.16067380E-4,
776.00,-1.14101556E-3,
778.00,-5.84942347E-4,
780.00,-6.26441906E-4,
782.00,4.68961545E-4,
784.00,1.52339973E-3,
786.00,-5.99435938E-4,
788.00,-1.12650055E-3,
790.00,-2.20341305E-3,
792.00,-1.16379582E-3,
794.00,3.13703204E-3,
796.00,4.79401962E-4,
798.00,1.21057697E-3,
800.00,7.37554510E-4,
802.00,2.08078534E-3,
804.00,-6.49288704E-4,
806.00,-1.10573554E-3,
808.00,9.95860551E-4,
810.00,9.72968002E-4,
812.00,3.15376790E-3,
814.00,-8.60950677E-4,
816.00,-8.42594236E-5,
818.00,-6.16067380E-4,
820.00,1.92282809E-4,
822.00,-6.01534732E-4,
824.00,9.81314108E-4,
826.00,7.35449255E-4,
828.00,-6.34445751E-5,
830.00,-6.22323772E-4,
832.00,-1.65904919E-3,
834.00,-6.11909607E-4,
836.00,1.96408670E-4,
838.00,-5.80744643E-4,
840.00,9.83380829E-4,
842.00,-6.09810872E-4,
844.00,1.23976532E-3,
846.00,-3.44063708E-4,
848.00,4.62768861E-4,
850.00,7.45896075E-4,
852.00,-3.79326462E-4,
854.00,1.24390109E-3,
856.00,-1.94894301E-3,
858.00,3.43034207E-3,
860.00,2.32526055E-3,
862.00,1.55053963E-3,
864.00,-1.38975354E-3,
866.00,2.06802870E-4,
868.00,9.83380829E-4,
870.00,-1.91996631E-3,
872.00,-1.00950230E-4,
874.00,-8.54737300E-4,
876.00,-2.20136135E-3,
878.00,1.26267190E-3,
880.00,1.90180217E-4,
882.00,-8.75474652E-4,
884.00,1.00838044E-3,
886.00,-1.15137757E-3,
888.00,1.01462065E-3,
890.00,1.79467653E-3,
892.00,2.05986761E-3,
894.00,3.93559830E-3,
896.00,2.82931165E-3,
898.00,-5.99435938E-4,
900.00,-3.25089903E-3,
902.00,1.01048709E-3,
904.00,1.52550871E-3,
906.00,7.39659765E-4,
908.00,-1.15754723E-3,
910.00,-6.76472773E-5,
912.00,-6.24382868E-4,
914.00,1.78846484E-3,
916.00,-6.07712136E-4,
918.00,-1.13682332E-3,
920.00,1.52542919E-3,
922.00,4.62729164E-4,
924.00,7.10465305E-4,
926.00,7.06334540E-4,
928.00,1.52964727E-3,
930.00,-8.40252207E-4,
932.00,-3.37803271E-4,
934.00,-1.13686279E-3,
936.00,-2.46810401E-3,
938.00,1.24183320E-3,
940.00,-1.12646096E-3,
942.00,-1.65288663E-3,
944.00,2.32733367E-3,
946.00,4.56496869E-4,
948.00,-1.65079301E-3,
950.00,1.24600879E-3,
952.00,1.00838044E-3,
954.00,4.33593028E-4,
956.00,-1.92205864E-3,
958.00,-3.26534314E-3,
960.00,-1.13271002E-3,
962.00,-8.63048190E-4,
964.00,4.79401962E-4,
966.00,-1.15137757E-3,
968.00,-9.12831107E-4,
970.00,7.56303431E-4,
972.00,-3.50284419E-4,
