Labels,MOF 2 O2  420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-3.47555033E-3,
4.00,-1.14125418E-4,
8.00,3.02664470E-3,
12.00,-3.91192822E-4,
16.00,-9.02785978E-4,
20.00,-1.23849662E-4,
24.00,-1.12708927E-4,
28.00,9.32809140E-4,
32.00,-2.71618017E-3,
36.00,1.63955294E-4,
40.00,-5.98979124E-4,
44.00,-6.48782530E-4,
48.00,1.98145746E-3,
52.00,-1.93846028E-3,
56.00,1.19781110E-3,
60.00,9.31397546E-4,
64.00,6.88299246E-4,
68.00,-2.70795124E-3,
72.00,-2.44865753E-3,
76.00,6.58965728E-4,
80.00,-6.24356850E-4,
84.00,-2.70800502E-3,
88.00,-8.36426116E-5,
92.00,4.06948803E-3,
96.00,1.55986592E-4,
100.00,1.49794520E-4,
104.00,9.42018989E-4,
108.00,6.82287791E-4,
112.00,1.78344417E-4,
116.00,1.43672354E-4,
120.00,-8.86523980E-4,
124.00,-1.13898277E-4,
128.00,-3.83078557E-4,
132.00,3.55724851E-3,
136.00,2.79086037E-3,
140.00,4.07139247E-4,
144.00,2.24316726E-3,
148.00,-6.33147545E-4,
152.00,-1.15297735E-3,
156.00,1.25400416E-4,
160.00,-3.77193023E-3,
164.00,-1.94886420E-3,
168.00,1.57948278E-4,
172.00,-3.76560929E-4,
176.00,1.70683768E-3,
180.00,1.56622613E-4,
184.00,-1.68713194E-3,
188.00,-4.27322369E-3,
192.00,-2.98007927E-3,
196.00,1.72027631E-3,
200.00,-6.46936707E-4,
204.00,6.69972680E-4,
208.00,-1.14860642E-3,
212.00,-6.52233313E-4,
216.00,1.18533918E-3,
220.00,6.70980604E-4,
224.00,2.24698894E-3,
228.00,1.53198576E-4,
232.00,6.75113057E-4,
236.00,-1.12022259E-4,
240.00,-1.42518070E-3,
244.00,-9.16934165E-4,
248.00,-2.18073442E-3,
252.00,9.26513167E-4,
256.00,1.70611683E-3,
260.00,2.51074950E-3,
264.00,3.53699038E-3,
268.00,1.44404112E-4,
272.00,1.59277275E-4,
276.00,-1.07876767E-4,
280.00,3.89117631E-4,
284.00,2.75566988E-3,
288.00,9.39456513E-4,
292.00,2.21854774E-3,
296.00,1.51175438E-4,
300.00,4.06626350E-4,
304.00,-6.24575128E-4,
308.00,1.44832488E-3,
312.00,1.47136103E-4,
316.00,2.45124032E-3,
320.00,3.00706970E-3,
324.00,4.57639433E-3,
328.00,1.98043254E-3,
332.00,-1.40593166E-3,
336.00,1.19641656E-3,
340.00,-6.25935441E-4,
344.00,-6.38795842E-4,
348.00,-2.21105269E-3,
352.00,1.52489694E-4,
356.00,-3.55689554E-4,
360.00,-8.94836732E-4,
364.00,2.48770718E-3,
368.00,9.34445125E-4,
372.00,4.24643367E-4,
376.00,4.22526267E-4,
380.00,-8.68507836E-4,
384.00,6.70067908E-4,
388.00,-1.25364677E-4,
392.00,-3.62873136E-4,
396.00,2.21888372E-3,
400.00,2.48992676E-3,
404.00,6.71075948E-4,
408.00,-1.08066299E-4,
412.00,2.49815942E-3,
416.00,3.03566130E-3,
420.00,4.16243507E-4,
424.00,2.49218661E-3,
428.00,-1.42217288E-3,
432.00,9.22672742E-4,
436.00,9.35375050E-4,
440.00,-6.38837926E-4,
444.00,1.71182340E-3,
448.00,3.29127302E-3,
452.00,-1.67173648E-3,
456.00,-1.08077438E-4,
460.00,7.04596168E-4,
464.00,3.28460801E-3,
468.00,4.29606851E-4,
472.00,1.45257951E-3,
476.00,3.96099000E-4,
480.00,1.72636402E-3,
484.00,-1.66886405E-3,
488.00,1.66035199E-4,
492.00,-2.18812213E-3,
496.00,-1.15449517E-3,
500.00,-1.94353506E-3,
504.00,-8.86678114E-4,
508.00,1.44419016E-3,
512.00,3.80380847E-3,
516.00,-9.11036797E-4,
520.00,-1.68431667E-3,
524.00,9.28428024E-4,
528.00,-1.13642681E-3,
532.00,-2.43232329E-3,
536.00,1.53160378E-4,
540.00,9.33722185E-4,
544.00,-1.42855581E-3,
548.00,-8.74292862E-4,
552.00,-9.08785558E-4,
556.00,-3.59644095E-4,
560.00,9.26690118E-4,
564.00,4.09969711E-4,
568.00,6.58842502E-4,
572.00,3.94382601E-4,
576.00,1.19093584E-3,
580.00,-1.14241696E-3,
584.00,-6.34548371E-4,
588.00,-3.74928553E-4,
592.00,-8.88733484E-4,
596.00,6.68039080E-4,
600.00,-1.12605208E-4,
604.00,1.69320183E-3,
608.00,1.42769876E-3,
612.00,1.73131784E-3,
616.00,1.70409202E-3,
620.00,3.95337178E-4,
624.00,9.34877666E-4,
628.00,-1.00345787E-4,
632.00,-6.71889225E-4,
636.00,1.45121361E-3,
640.00,-1.69656449E-3,
644.00,-8.13125589E-5,
648.00,9.31841729E-4,
652.00,-6.21707994E-4,
656.00,3.91682552E-4,
660.00,1.69890153E-3,
664.00,-1.09544504E-4,
668.00,-1.04386578E-4,
672.00,1.95090706E-3,
676.00,4.09166416E-4,
680.00,-2.46489584E-3,
684.00,-1.37575041E-3,
688.00,1.43256446E-3,
692.00,-6.14216900E-4,
696.00,-2.71929451E-3,
700.00,-2.18416494E-3,
704.00,-1.16257160E-3,
708.00,-1.06110921E-4,
712.00,1.70162355E-3,
716.00,-8.92754470E-4,
720.00,2.48782523E-3,
724.00,-6.40249054E-4,
728.00,-1.13268616E-3,
732.00,-1.41166232E-3,
736.00,-6.39789389E-4,
740.00,6.44714164E-4,
744.00,1.51822169E-4,
748.00,1.45852438E-3,
752.00,-3.47335893E-3,
756.00,-6.18720893E-4,
760.00,-9.15055978E-4,
764.00,3.26070352E-3,
768.00,1.40330201E-4,
772.00,-1.13667408E-3,
776.00,-3.77625134E-3,
780.00,-8.61829147E-4,
784.00,-3.74189904E-3,
788.00,-3.59550264E-4,
792.00,-2.73149344E-3,
796.00,-2.17807665E-3,
800.00,1.45729154E-3,
804.00,1.20995753E-3,
808.00,-8.76748585E-4,
812.00,-1.09608736E-4,
816.00,-1.39752612E-3,
820.00,-3.56340403E-4,
824.00,-9.09171184E-4,
828.00,-3.75348725E-3,
832.00,9.07649752E-4,
836.00,-2.97289947E-3,
840.00,2.48603523E-3,
844.00,-1.13014062E-3,
848.00,-3.74355563E-3,
852.00,-2.20372831E-3,
856.00,-8.78373161E-4,
860.00,-1.15464453E-3,
