Sliced MOF 1 O2 300 700 nm 10 us Delta OD

Labels,0.000 ns,300.000 ns,600.000 ns,900.000 ns,1200.000 ns,1500.000 ns,1800.000 ns,2100.000 ns,2400.000 ns,2700.000 ns,
370.00,2.15005921E-3,1.00582768E-3,6.18863443E-4,8.46969124E-5,-3.11286538E-4,-2.79451517E-4,-9.12596151E-5,-1.98984035E-5,-1.01143793E-4,-4.01333731E-4,
380.00,1.51923741E-3,8.36021092E-4,2.96073558E-4,1.08898406E-4,1.49749001E-4,-7.92917581E-6,1.02060876E-4,-1.45844984E-4,1.80237912E-4,-1.18634007E-5,
390.00,-4.46162885E-3,-2.02957192E-3,-1.10908027E-3,-6.07049442E-4,-9.89418186E-5,-3.64997948E-4,-1.40794262E-4,1.27876556E-4,-5.06151737E-5,2.23795105E-5,
400.00,-1.87965762E-2,-9.48736444E-3,-5.15039219E-3,-2.70192209E-3,-1.53599028E-3,-9.23865358E-4,-6.64885563E-4,-4.20863886E-4,-4.56781243E-4,-2.29132245E-4,
410.00,-6.28028512E-2,-3.12797874E-2,-1.60688218E-2,-8.80647544E-3,-4.60181944E-3,-3.58191761E-3,-1.68861623E-3,-1.66965090E-3,-9.73895716E-4,-1.69918314E-3,
420.00,-2.88650189E-2,-1.24302004E-2,-5.75582404E-3,-3.32749099E-3,-2.01891107E-3,-1.65734475E-3,-1.40326237E-3,-8.58952233E-4,-1.36048568E-3,-1.29867846E-3,
430.00,1.64698251E-2,8.68102442E-3,4.36057290E-3,2.42423173E-3,1.17896800E-3,5.18713437E-4,4.88998776E-4,-6.82440950E-5,-7.71809500E-5,5.23311101E-5,
440.00,1.08935013E-2,5.37608936E-3,2.84912530E-3,1.57912518E-3,1.14590803E-3,9.51218302E-4,8.23074079E-4,6.03748602E-4,9.56404896E-4,4.90690116E-4,
450.00,9.65104066E-3,4.17003268E-3,1.89266459E-3,1.02782145E-3,6.51014503E-4,2.91129865E-4,-2.12464860E-4,-7.96682616E-6,1.83228025E-4,-4.63939068E-5,
460.00,1.05396947E-2,5.00085065E-3,2.78096250E-3,1.25535065E-3,8.55151913E-4,3.64988286E-4,1.05803250E-4,1.20739838E-4,3.54588381E-4,3.19754152E-4,
470.00,1.01942038E-2,4.51783696E-3,2.41175503E-3,1.00816810E-3,6.35436678E-4,4.77347785E-4,3.31879477E-4,3.14847566E-4,1.36005974E-5,3.81335441E-4,
480.00,7.68312300E-3,3.72682139E-3,1.72577286E-3,7.39721232E-4,1.99440678E-4,1.79556402E-4,-1.88643608E-5,-4.59539551E-5,-9.01244057E-5,-1.67810271E-4,
490.00,5.46373380E-3,2.71172542E-3,1.38689578E-3,4.66629863E-4,-1.08754175E-4,2.44533003E-4,-7.09560481E-6,-1.50013642E-4,3.81831087E-5,-1.10113644E-4,
500.00,4.06556902E-3,2.04521557E-3,5.32947190E-4,4.81787021E-4,7.83121723E-5,5.31180958E-5,-1.33692156E-4,-2.30820951E-4,3.14873578E-5,1.70120002E-5,
510.00,2.20650155E-3,1.12644525E-3,6.85217499E-4,3.92588059E-4,3.46419401E-4,1.23095029E-4,2.28863253E-4,2.63251131E-4,1.93737040E-4,2.28002114E-4,
520.00,1.01032062E-3,7.34105182E-4,2.99176696E-4,2.53843726E-4,1.65743564E-4,-1.19903794E-4,-1.35935828E-4,3.93354072E-4,1.73150576E-4,-3.00008338E-4,
530.00,8.87505186E-4,6.81789592E-4,3.51403840E-4,2.67836644E-4,-1.36271294E-4,-2.95982609E-5,-2.10243568E-4,-4.50202613E-4,-2.26366203E-4,2.21079335E-5,
540.00,1.63582712E-3,1.04925456E-3,2.71112251E-4,3.41460691E-4,-1.00731100E-4,3.92226357E-4,-3.93723931E-5,-2.87395611E-4,1.98150097E-4,2.95726524E-4,
550.00,1.38726097E-3,9.28230991E-4,4.66623518E-4,3.34778219E-4,1.97198184E-4,4.31889232E-4,3.04565183E-4,4.35417285E-4,4.88897495E-4,4.50329419E-4,
560.00,6.31429080E-4,3.05626745E-4,4.51724663E-5,-1.39766242E-4,2.34744148E-5,-9.08269940E-5,-1.57411734E-4,-1.57486793E-4,1.84874109E-4,-2.29461264E-4,
570.00,2.98258219E-5,-1.44335398E-4,-2.48965167E-4,-3.62690771E-4,-5.56168146E-4,-3.28073016E-4,-3.83337989E-4,-4.72048327E-4,-2.68297608E-5,-3.34946351E-4,
580.00,7.27557519E-4,3.72687820E-4,2.60237750E-4,4.71205276E-5,3.57702869E-4,1.84823613E-4,-4.33906425E-5,3.28994443E-4,1.58949275E-4,1.03329534E-4,
590.00,8.40781955E-4,2.50462908E-4,1.44775797E-4,-1.00132493E-4,-1.22582496E-4,-1.35478724E-4,-1.92981053E-4,-3.99031182E-4,-3.07533453E-4,-4.23476537E-4,
600.00,9.91151086E-4,4.72909276E-4,1.92189807E-4,2.70915800E-4,2.78215331E-4,9.44091589E-5,1.70302174E-5,-2.88070332E-5,-3.69263842E-4,-2.35930289E-4,
610.00,7.73921842E-4,4.66763711E-4,3.56691657E-4,8.82147651E-5,-1.37886193E-4,1.81763040E-4,3.50561430E-4,-1.05595638E-4,1.62368306E-5,3.09898838E-4,
620.00,4.83901153E-4,4.10349458E-4,8.16289976E-5,2.08618021E-5,5.76508537E-5,1.59461546E-4,-4.86712379E-5,4.26890008E-4,-7.79450784E-5,-7.27518927E-5,
630.00,1.77208846E-3,8.36124935E-4,6.14597404E-4,8.12305138E-4,4.93675121E-4,7.36339774E-4,5.64828108E-4,5.61680761E-4,4.04648919E-4,5.33442071E-4,
640.00,9.92304878E-4,1.06212392E-3,3.50009301E-4,5.03691786E-4,3.70556576E-4,3.82691971E-4,-1.17431642E-4,-3.27426504E-4,1.47024548E-4,-3.71046008E-5,
650.00,4.07000276E-4,1.10397028E-4,3.42926709E-4,-5.58374799E-4,-4.06121508E-5,3.68928129E-4,-1.51112501E-4,-2.91480421E-4,-9.96290401E-5,-1.26931882E-5,
660.00,1.05953543E-3,5.89015253E-4,1.19377556E-3,5.98203507E-4,7.92940846E-4,6.53719238E-4,4.17178031E-4,4.87865560E-4,6.97027368E-4,4.91157989E-4,
670.00,1.59853452E-3,4.97719331E-4,6.60312944E-4,5.12443075E-4,7.07600208E-4,-1.45469152E-4,6.74229232E-4,5.54984959E-4,5.66677540E-4,5.14846819E-4,
680.00,6.60274469E-4,1.80298535E-4,7.17861694E-4,7.15989008E-5,7.48529565E-4,4.08582564E-4,-3.36268655E-4,3.80977639E-4,1.97489309E-4,-9.42234910E-5,
690.00,1.39709318E-3,-1.75092995E-4,-1.84056844E-4,1.49180021E-4,3.91210458E-4,-2.38855355E-4,5.22200891E-4,-2.86387894E-5,7.09307031E-4,-9.47738445E-5,
700.00,1.93744339E-3,2.18363712E-3,7.38180242E-4,7.65910954E-5,1.10542052E-3,6.76899508E-4,5.77093568E-4,-4.41708311E-4,1.10730028E-3,5.50681034E-5,
