Labels,MOF 3 O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

213.00,-1.31134689E-3,
214.00,1.42006160E-4,
215.00,-2.75848288E-4,
216.00,-5.05270378E-4,
217.00,7.73740583E-4,
218.00,-5.29207900E-5,
219.00,-2.93984835E-4,
220.00,-2.59316905E-4,
221.00,1.85235613E-3,
222.00,9.67428554E-4,
223.00,2.90878839E-3,
224.00,3.51935654E-4,
225.00,1.47017563E-4,
226.00,7.86966120E-4,
227.00,-2.80791835E-4,
228.00,3.55278200E-4,
229.00,-2.64292117E-4,
230.00,1.83080824E-3,
231.00,2.84175883E-4,
232.00,4.62726253E-4,
233.00,9.80628422E-4,
234.00,-7.43429264E-5,
235.00,1.01542985E-3,
236.00,-1.74264982E-3,
237.00,-5.00297931E-4,
238.00,1.96567358E-4,
239.00,-9.07662441E-4,
240.00,-1.11201860E-3,
241.00,-4.96993423E-4,
242.00,-1.34266436E-3,
243.00,-4.98661364E-4,
244.00,-1.53362949E-3,
245.00,-9.19170037E-4,
246.00,-9.07662441E-4,
247.00,-4.80501913E-4,
248.00,-1.75084034E-3,
249.00,3.15579266E-4,
250.00,1.25390408E-3,
251.00,1.17608311E-3,
252.00,5.58654079E-4,
253.00,-6.94936840E-4,
254.00,-3.23400623E-3,
255.00,1.68450628E-4,
256.00,-9.15868732E-4,
257.00,-4.93688858E-4,
258.00,1.01542985E-3,
259.00,1.61355315E-3,
260.00,3.43705527E-4,
261.00,-1.32614211E-3,
262.00,-9.42278712E-4,
263.00,5.80138993E-4,
264.00,-6.80088706E-4,
265.00,1.65204081E-4,
266.00,-1.53526221E-3,
267.00,-2.87404138E-4,
268.00,5.63607202E-4,
269.00,-1.35086232E-3,
270.00,3.50295915E-4,
271.00,-6.44510728E-5,
272.00,-7.93202707E-5,
273.00,-2.62623216E-4,
274.00,-6.78452896E-4,
275.00,-7.26235798E-4,
276.00,-1.11695263E-3,
277.00,7.85324723E-4,
278.00,-2.42816372E-4,
279.00,-5.29974524E-4,
280.00,-2.47791788E-4,
281.00,3.53575393E-4,
282.00,1.50327018E-4,
283.00,-3.12152144E-4,
284.00,-7.03210069E-4,
285.00,1.41960848E-3,
286.00,-5.78668769E-5,
287.00,-8.59356369E-5,
288.00,-6.99907076E-4,
289.00,3.70162277E-4,
290.00,1.19099533E-3,
291.00,-5.61971865E-5,
292.00,-6.86663494E-4,
293.00,-2.37396476E-3,
294.00,-4.95813620E-5,
295.00,7.85356271E-4,
296.00,-2.87372648E-4,
297.00,1.48656531E-4,
298.00,-2.54373095E-4,
299.00,9.78986267E-4,
300.00,-2.82429159E-4,
301.00,-1.11531850E-3,
302.00,-1.12364614E-4,
303.00,-7.31237174E-4,
304.00,-6.88330736E-4,
305.00,3.68459412E-4,
306.00,1.25522536E-4,
307.00,-1.35086232E-3,
308.00,-6.66907406E-4,
309.00,3.45345237E-4,
310.00,7.91953353E-4,
311.00,1.63679814E-3,
312.00,1.48656531E-4,
313.00,7.98550551E-4,
314.00,-1.55827519E-3,
315.00,-2.80791835E-4,
316.00,-1.35086232E-3,
317.00,1.39972568E-3,
318.00,1.63176947E-3,
319.00,1.23883656E-4,
320.00,-2.74179416E-4,
321.00,-1.74757664E-3,
322.00,-1.98607123E-3,
323.00,-8.97758116E-4,
324.00,5.37138665E-4,
325.00,1.76740461E-4,
326.00,1.45347090E-4,
327.00,3.28822352E-4,
328.00,5.70264005E-4,
329.00,-1.29488634E-3,
330.00,2.07973481E-3,
331.00,9.82302008E-4,
332.00,1.21415453E-3,
333.00,7.62156793E-4,
334.00,-1.33107370E-3,
335.00,3.58589226E-4,
336.00,-1.35909172E-3,
337.00,1.85030454E-4,
338.00,-3.31924326E-4,
339.00,-4.85443132E-4,
340.00,1.22243271E-3,
341.00,-8.97758116E-4,
342.00,7.55528570E-4,
343.00,-8.66408634E-4,
344.00,-1.15981675E-3,
345.00,2.26567639E-3,
346.00,1.55275469E-4,
347.00,3.48656205E-4,
348.00,1.61522930E-3,
349.00,1.62351516E-3,
350.00,-1.10708456E-3,
351.00,-9.01059597E-4,
352.00,5.71873039E-4,
353.00,-7.27902923E-4,
354.00,-7.13087386E-4,
355.00,1.62515964E-3,
356.00,-6.99875643E-4,
357.00,7.62188341E-4,
358.00,-1.52540358E-3,
359.00,-1.34263292E-3,
360.00,5.63638750E-4,
361.00,-1.33606803E-3,
362.00,-4.63049182E-5,
363.00,-1.95316924E-3,
364.00,-1.99591951E-3,
365.00,-1.74098660E-3,
366.00,-1.12355221E-3,
367.00,-5.03570947E-4,
368.00,-4.49153740E-4,
369.00,-2.72542064E-4,
370.00,3.56917939E-4,
371.00,-7.60125477E-5,
372.00,1.16113969E-3,
373.00,1.62022607E-3,
374.00,1.43784832E-3,
375.00,3.17250408E-4,
376.00,-6.61207305E-5,
377.00,1.37057854E-4,
378.00,3.76753072E-4,
379.00,1.62187056E-3,
380.00,5.71904588E-4,
381.00,-4.91989369E-4,
382.00,9.82333673E-4,
383.00,5.60326152E-4,
384.00,3.80064273E-4,
385.00,-4.82138479E-4,
386.00,-1.55171368E-3,
387.00,5.68591873E-4,
388.00,-7.04814389E-4,
389.00,1.00879767E-3,
390.00,-9.27439018E-4,
391.00,3.48656205E-4,
392.00,-1.13175448E-3,
393.00,1.73430803E-4,
394.00,1.48656531E-4,
395.00,-1.55501021E-3,
396.00,1.20420195E-3,
397.00,1.63565055E-4,
398.00,-1.09718472E-3,
399.00,-7.76506640E-5,
400.00,1.47017563E-4,
401.00,1.48656531E-4,
402.00,-7.60440525E-5,
403.00,5.71904588E-4,
404.00,-1.76072516E-3,
405.00,-6.77903881E-5,
406.00,-1.09881896E-3,
407.00,-5.62286914E-5,
408.00,7.83683383E-4,
409.00,-2.34534382E-4,
410.00,-1.76398875E-3,
411.00,1.07369204E-4,
412.00,7.86997669E-4,
413.00,3.58557678E-4,
414.00,1.19428115E-3,
415.00,3.37083708E-4,
416.00,1.15782255E-3,
417.00,-1.32780685E-3,
418.00,-2.44453870E-4,
419.00,-9.02694592E-4,
420.00,5.33857790E-4,
421.00,1.44284312E-3,
422.00,-4.98661364E-4,
423.00,1.58205570E-3,
424.00,4.18066018E-4,
425.00,-4.82138479E-4,
426.00,-1.97126716E-3,
427.00,-5.03570947E-4,
428.00,1.81689218E-4,
429.00,1.22213271E-4,
430.00,-2.32962193E-3,
431.00,-6.55361684E-4,
432.00,5.09031408E-4,
433.00,-2.32896869E-4,
434.00,-1.34263292E-3,
435.00,3.58620746E-4,
436.00,1.80050134E-4,
437.00,-7.27363004E-5,
438.00,-7.09784508E-4,
439.00,1.22244790E-4,
440.00,7.82010437E-4,
441.00,3.91637877E-4,
442.00,1.00052357E-3,
443.00,1.19263818E-3,
444.00,3.68490932E-4,
445.00,1.22243271E-3,
446.00,-8.59356369E-5,
447.00,-2.90678756E-4,
448.00,-2.89041433E-4,
449.00,-1.32450869E-3,
450.00,7.63798074E-4,
451.00,9.80628422E-4,
452.00,-7.09784508E-4,
453.00,-7.09784508E-4,
454.00,7.77086418E-4,
455.00,1.19759853E-3,
456.00,1.41132646E-3,
457.00,-5.08543337E-4,
458.00,-7.16390263E-4,
459.00,-4.82107018E-4,
460.00,-1.53030152E-3,
461.00,-6.91633846E-4,
462.00,5.76857827E-4,
463.00,1.20587647E-3,
464.00,3.81735648E-4,
465.00,-2.90678756E-4,
466.00,1.19424949E-3,
467.00,-1.09881896E-3,
468.00,7.86997669E-4,
469.00,9.39261867E-4,
470.00,-2.19321228E-3,
471.00,-4.90352802E-4,
472.00,1.56914466E-4,
473.00,2.04323349E-3,
474.00,-5.28892888E-5,
475.00,3.35412507E-4,
476.00,7.88639067E-4,
477.00,-4.78833826E-4,
478.00,5.73545112E-4,
479.00,1.41132646E-3,
480.00,-4.80501913E-4,
481.00,3.37052188E-4,
482.00,-4.72224434E-4,
483.00,-2.89041433E-4,
484.00,5.55341481E-4,
485.00,-9.15868732E-4,
