Sliced VMOF  O2 300 700 nm 10 us Delta OD

Labels,0.000 ns,200.000 ns,400.000 ns,600.000 ns,800.000 ns,1000.000 ns,1200.000 ns,1400.000 ns,1600.000 ns,1800.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

520.00,-6.37153105E-4,-4.38504678E-4,-5.49337477E-4,-2.25742202E-4,-5.05922653E-4,9.02002503E-5,-2.48989789E-4,-4.45139449E-4,-5.21850481E-4,-2.38352164E-4,
530.00,-3.17353581E-4,-5.45413583E-4,4.87454599E-5,-2.14156549E-4,-4.48256847E-4,-3.77548422E-5,-3.96374584E-4,-2.16373985E-4,-3.10510281E-4,-6.77945558E-4,
540.00,3.17050552E-4,2.44310562E-4,-3.22898086E-5,2.27774304E-4,-1.00108242E-4,2.97118240E-5,2.88361025E-5,-6.48221176E-5,-2.01407729E-5,-8.04543524E-5,
550.00,-2.20647285E-4,3.45128326E-4,-3.63923306E-7,1.28802139E-6,7.34549440E-6,-3.26768262E-4,2.65760827E-5,2.17558554E-4,-3.59843660E-4,-1.94570574E-4,
560.00,-3.97160002E-5,-1.16343173E-4,-3.60449951E-4,-1.92725842E-4,-1.13475777E-4,-3.16943799E-4,-2.81547080E-4,-1.78969669E-4,-7.26625367E-5,-3.51466006E-4,
570.00,2.57180916E-4,-6.10769202E-5,-1.94502354E-4,-1.82993754E-4,-1.73923225E-4,-1.20365412E-5,-1.46606020E-4,-2.88568990E-5,-1.32099100E-4,-3.67308603E-5,
580.00,3.29927803E-4,2.14367465E-4,-2.14441516E-5,2.33656712E-4,-2.16596345E-5,-1.23150370E-4,2.45417687E-5,3.11724492E-4,-2.27339915E-5,3.18053091E-4,
590.00,1.04258477E-4,6.17131154E-5,1.06658481E-4,-1.84213190E-4,8.24290328E-5,3.98902057E-6,2.67879986E-5,4.32265631E-4,4.37756498E-5,1.94943768E-5,
600.00,1.64747791E-4,-1.46436389E-4,-1.24741360E-4,2.94957936E-5,-1.35439710E-4,-1.03719511E-4,-5.28706187E-5,-1.08736160E-4,-2.81796092E-4,4.98224326E-5,
610.00,5.96307393E-4,6.90028886E-4,1.29083419E-4,-2.13347332E-4,1.88960679E-4,3.80351587E-4,2.78894091E-4,5.18317938E-6,-2.77663523E-4,-2.67736643E-4,
620.00,6.96446368E-5,1.84537625E-4,1.89865881E-4,1.08262102E-4,2.42719048E-4,-3.20683583E-4,-8.44254537E-5,-2.32816019E-4,1.57704617E-5,1.15607669E-4,
630.00,8.50667304E-4,-1.04485589E-5,4.57972725E-4,4.35074908E-4,2.25015639E-4,-6.47112392E-5,7.73721913E-5,8.03473376E-5,-1.73567212E-4,-4.85545970E-5,
640.00,3.69144371E-4,5.80292894E-4,1.93734333E-4,4.84707649E-4,-1.71140109E-5,2.93968740E-4,2.94308295E-4,3.38843587E-4,3.25431640E-4,5.46273252E-4,
650.00,5.09796024E-4,2.17085180E-4,-2.98733194E-5,5.21080801E-4,9.60511505E-4,9.45749780E-5,-7.99550980E-5,2.43706498E-4,-1.72415705E-4,-3.65086249E-4,
660.00,3.97311960E-4,-3.96681979E-4,-9.29517410E-5,4.98929527E-4,1.57620554E-4,2.10651386E-4,5.31329366E-4,3.02978442E-4,-3.18635261E-6,3.99413548E-4,
670.00,6.30794326E-4,1.99481059E-4,3.10259726E-4,1.49483225E-4,-3.85961466E-4,-1.44141013E-4,2.26512013E-4,1.69544001E-5,4.11394227E-4,-2.88718875E-5,
680.00,-2.21816896E-4,2.91928358E-4,-3.31144201E-6,3.49674665E-4,3.39318358E-4,5.79970438E-5,-5.58515312E-4,2.37523767E-4,-2.20651826E-4,1.57119217E-3,
690.00,7.93410727E-5,4.52501728E-4,-4.90390084E-5,3.51753377E-4,-2.41723130E-4,-1.20467797E-4,-7.17055227E-4,1.33783004E-4,5.61306369E-4,-1.53721077E-4,
700.00,1.73052633E-3,1.60013651E-3,1.12860906E-3,9.49604670E-4,2.69326963E-4,1.44841324E-3,7.25268968E-4,6.45109860E-4,9.13388154E-4,1.09282543E-3,
