Sliced MOF 3 O2 300 700 nm 10 us Delta OD

Labels,0.000 ns,300.000 ns,600.000 ns,900.000 ns,1200.000 ns,1500.000 ns,1800.000 ns,2100.000 ns,2400.000 ns,2700.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

520.00,1.29523803E-4,3.23099463E-4,-9.94102811E-5,-6.55963304E-5,-6.05511414E-5,-1.21993362E-4,-1.53632980E-4,-1.75146721E-4,-4.94902604E-4,-3.61870218E-4,
530.00,6.19355007E-4,-3.60965714E-5,1.38519536E-4,-6.09776816E-6,-1.79094219E-4,-2.57827225E-4,-3.01342679E-5,2.46194890E-4,-5.15071006E-5,-9.32123148E-5,
540.00,6.49805588E-4,3.58590623E-4,4.43514029E-4,6.20141145E-5,1.64544064E-4,1.09213477E-4,-1.49341373E-4,-1.81094147E-5,-2.57178006E-4,-2.22807255E-4,
550.00,3.28930008E-4,3.19476909E-4,1.50003572E-4,3.86765969E-5,-1.41085075E-5,1.61862336E-4,-2.09071019E-4,2.03996766E-4,3.85464024E-4,-1.10379697E-4,
560.00,1.97528148E-4,1.09321081E-4,1.17067248E-4,1.18675271E-4,5.38208042E-5,-2.32453094E-5,-1.58412076E-5,-3.00732372E-5,1.97178997E-5,-4.82917094E-5,
570.00,3.91020818E-4,1.66555401E-4,1.35615090E-4,1.03618797E-4,2.28186127E-5,1.02067512E-4,7.65674049E-5,1.60861076E-4,-1.03693594E-4,1.41775861E-4,
580.00,-1.40058852E-4,-1.24846672E-4,-7.77269452E-5,-2.52888771E-4,-3.82453436E-4,-3.52319359E-4,-4.84660122E-4,-3.63504718E-4,-4.14189941E-4,-1.58670562E-4,
590.00,1.86948804E-4,-1.40139746E-4,-1.03680039E-4,-2.44055536E-5,3.06529910E-5,-3.58572637E-4,-2.15043605E-4,1.43555968E-4,4.48399660E-5,-1.05319807E-4,
600.00,1.28796368E-4,7.15580027E-5,1.66788468E-5,-1.11015230E-4,1.09985893E-4,2.43143048E-4,1.05574407E-4,8.12700309E-5,3.83769628E-4,1.84512057E-4,
610.00,7.06534658E-4,1.74822067E-4,2.03107120E-4,-6.36775585E-5,2.37406348E-5,-1.89159618E-4,1.10489862E-4,-1.19743672E-5,-2.35075586E-5,-1.05106381E-4,
620.00,6.03098888E-4,-2.09676127E-5,-1.65637684E-4,2.90636002E-4,-6.67629865E-5,-1.79620314E-4,-1.80633098E-4,1.40216667E-4,2.07735411E-5,8.97289647E-5,
630.00,4.54877358E-4,5.87470968E-5,-2.87430827E-4,2.92631652E-4,1.04042549E-4,-1.61662232E-4,-9.76785304E-5,-1.31289940E-4,1.34629765E-4,1.22644895E-4,
640.00,1.26848667E-4,7.11017579E-4,3.67873577E-6,2.86259106E-4,2.27811513E-4,5.06426732E-4,-1.29775377E-4,4.49192827E-4,-1.43618294E-4,4.30304470E-4,
650.00,1.87914979E-4,3.12676784E-5,-2.47868215E-4,-4.72631764E-5,2.29297133E-4,1.76023983E-4,-3.15896177E-4,-1.61242744E-4,-1.79466864E-4,-1.95824527E-4,
660.00,-7.51241460E-5,-3.53054987E-4,-3.74544703E-4,-4.34634188E-4,-3.80824145E-4,-4.77181529E-5,-7.54027686E-4,-6.64867286E-4,-3.48119182E-4,1.37712865E-4,
670.00,8.12489481E-4,3.77949007E-4,2.35217041E-4,4.63768840E-4,2.40976806E-4,7.31504580E-4,9.02358384E-4,1.81257728E-5,2.75746774E-4,4.37811512E-4,
680.00,9.31178627E-4,8.57324514E-4,6.78142358E-4,9.20782390E-4,8.46747949E-4,6.23639673E-4,5.00270107E-4,3.46451241E-4,5.70133154E-4,2.81749730E-4,
690.00,1.01368358E-4,1.11173058E-3,9.86860250E-4,1.23900245E-3,1.71409990E-3,1.25642517E-3,1.53777411E-3,1.63957104E-3,4.86399629E-4,1.45284703E-3,
700.00,2.37278509E-4,-4.97182227E-5,2.54658284E-4,3.56384349E-4,1.14926159E-4,1.36930219E-4,2.86544615E-4,-5.22273127E-4,5.19070949E-4,-2.94012862E-4,
