Labels,MOF 2 430nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1.93E04,3.93917831E-3,
1.94E04,1.28466741E-3,
1.95E04,1.28471723E-3,
1.96E04,-4.02369583E-3,
1.97E04,-2.03485973E-3,
1.98E04,3.28521407E-3,
1.99E04,-3.40201333E-3,
2E04,6.21160783E-4,
2.01E04,3.27505078E-3,
2.02E04,-4.55651825E-5,
2.03E04,-4.04964341E-3,
2.04E04,-2.71578436E-3,
2.05E04,-7.16801267E-4,
2.06E04,-1.37280638E-3,
2.07E04,-3.37889791E-3,
2.08E04,6.61348784E-3,
2.09E04,5.91136236E-3,
2.1E04,-1.36362365E-3,
2.11E04,1.95191032E-3,
2.12E04,-2.03480991E-3,
2.13E04,2.61497218E-3,
2.14E04,-2.74937786E-3,
2.15E04,-2.66963150E-3,
2.16E04,-4.04755338E-5,
2.17E04,-5.39434981E-3,
2.18E04,-4.03233524E-3,
2.19E04,2.61497195E-3,
2.2E04,3.28777451E-3,
2.21E04,1.95242080E-3,
2.22E04,5.28168492E-3,
2.23E04,-2.01811711E-3,
2.24E04,1.28727383E-3,
2.25E04,5.94429253E-3,
2.26E04,6.21210260E-4,
2.27E04,1.95242092E-3,
2.28E04,-7.06080638E-4,
2.29E04,-2.05735699E-3,
2.3E04,1.28625589E-3,
2.31E04,-4.29668289E-5,
2.32E04,-2.04045791E-3,
2.33E04,-4.65403730E-3,
2.34E04,-4.00654599E-3,
2.35E04,1.95242080E-3,
2.36E04,-2.71583418E-3,
2.37E04,-2.06870981E-3,
2.38E04,3.28782434E-3,
2.39E04,-4.03238460E-3,
2.4E04,7.25780753E-3,
2.41E04,-4.04261664E-5,
2.42E04,-2.70913774E-3,
2.43E04,6.24209584E-4,
2.44E04,4.59523173E-3,
2.45E04,6.24209701E-4,
2.46E04,-1.38651195E-3,
2.47E04,-4.55651825E-5,
2.48E04,6.25727116E-4,
2.49E04,5.29290084E-3,
2.5E04,-3.40201333E-3,
2.51E04,1.95396179E-3,
2.52E04,-2.01268494E-3,
2.53E04,-6.91889203E-4,
2.54E04,6.24110748E-4,
2.55E04,4.60888958E-3,
2.56E04,-2.04040855E-3,
2.57E04,1.95237121E-3,
2.58E04,6.13456068E-4,
2.59E04,5.94429299E-3,
2.6E04,-4.55651825E-5,
2.61E04,1.95242092E-3,
2.62E04,4.61351965E-3,
2.63E04,1.28773099E-3,
2.64E04,-2.70918710E-3,
2.65E04,-2.72245170E-3,
2.66E04,-2.71578436E-3,
2.67E04,-1.38656190E-3,
2.68E04,6.25677698E-4,
2.69E04,6.24160224E-4,
2.7E04,1.28782983E-3,
2.71E04,5.25935926E-3,
2.72E04,-7.02528865E-4,
2.73E04,-5.36218612E-3,
2.74E04,3.29550286E-3,
2.75E04,3.94272432E-3,
2.76E04,-4.04755338E-5,
2.77E04,-2.01263581E-3,
2.78E04,-4.01513278E-3,
2.79E04,-1.37734425E-3,
2.8E04,1.95089402E-3,
2.81E04,-3.34840664E-3,
2.82E04,-4.29668289E-5,
2.83E04,1.95191032E-3,
2.84E04,-5.06859542E-5,
2.85E04,-3.34840734E-3,
2.86E04,-2.07441277E-3,
2.87E04,-6.95457682E-4,
2.88E04,-5.34087373E-3,
2.89E04,-2.70918710E-3,
2.9E04,-1.38661149E-3,
2.91E04,5.26486523E-3,
2.92E04,-3.37889791E-3,
2.93E04,4.63658478E-3,
2.94E04,-6.74323179E-3,
2.95E04,5.26486523E-3,
2.96E04,6.22638036E-4,
2.97E04,1.95344654E-3,
2.98E04,-1.38199551E-3,
2.99E04,-1.38194603E-3,
3E04,1.28778047E-3,
3.01E04,-2.04045791E-3,
3.02E04,6.21111132E-4,
3.03E04,-3.34089133E-3,
3.04E04,-3.39428452E-3,
3.05E04,4.60884022E-3,
3.06E04,-4.68278397E-3,
3.07E04,1.28676556E-3,
3.08E04,-1.37275667E-3,
3.09E04,1.28676556E-3,
3.1E04,6.19579572E-4,
3.11E04,1.28732319E-3,
3.12E04,5.27602853E-3,
3.13E04,-4.04755338E-5,
3.14E04,3.28782410E-3,
3.15E04,1.28681515E-3,
3.16E04,7.25780753E-3,
3.17E04,9.25385579E-3,
3.18E04,-4.02369583E-3,
3.19E04,-6.73037022E-3,
3.2E04,-4.55651825E-5,
3.21E04,-2.05730693E-3,
3.22E04,1.28833484E-3,
3.23E04,2.61350162E-3,
3.24E04,5.93762659E-3,
3.25E04,6.21111132E-4,
3.26E04,-4.02369583E-3,
3.27E04,-2.05170666E-3,
3.28E04,-4.55651825E-5,
3.29E04,-4.04755338E-5,
3.3E04,-4.04100027E-3,
