Labels,MOF 2 420nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-3.92870791E-3,
100.00,-3.29510099E-3,
200.00,3.17750871E-3,
300.00,2.52597849E-3,
400.00,-3.94650968E-3,
500.00,3.81172542E-3,
600.00,-2.61688116E-3,
700.00,1.23869907E-3,
800.00,-6.95128518E-4,
900.00,1.88047613E-3,
1000.00,-3.28716263E-3,
1100.00,-2.65871012E-3,
1200.00,-4.58895555E-3,
1300.00,-5.25221648E-3,
1400.00,5.90764277E-4,
1500.00,1.88071595E-3,
1600.00,-1.34671724E-3,
1700.00,1.23636285E-3,
1800.00,2.52321386E-3,
1900.00,-1.35176128E-3,
2000.00,-2.64461967E-3,
2100.00,-1.99520774E-3,
2200.00,1.88023550E-3,
2300.00,-6.99241820E-4,
2400.00,4.46067099E-3,
2500.00,-2.00725300E-3,
2600.00,-7.11509841E-4,
2700.00,2.52607465E-3,
2800.00,-7.03318801E-4,
2900.00,-3.94646125E-3,
3000.00,-3.93759552E-3,
3100.00,2.52607465E-3,
3200.00,2.52679526E-3,
3300.00,1.23150367E-3,
3400.00,1.23276014E-3,
3500.00,5.77284908E-3,
3600.00,1.88052421E-3,
3700.00,-2.00122152E-3,
3800.00,1.87999418E-3,
3900.00,-2.00730143E-3,
4000.00,-1.34676520E-3,
4100.00,1.23029191E-3,
4200.00,-2.63775070E-3,
4300.00,2.52535637E-3,
4400.00,4.46067099E-3,
4500.00,-1.99525617E-3,
4600.00,-7.10865017E-3,
4700.00,1.23391638E-3,
4800.00,-3.28716263E-3,
4900.00,-4.58900398E-3,
5000.00,5.84269583E-4,
5100.00,4.47149528E-3,
5200.00,-2.00730143E-3,
5300.00,5.79955755E-4,
5400.00,-6.91123540E-4,
5500.00,1.23155199E-3,
5600.00,-7.03270838E-4,
5700.00,3.16737220E-3,
5800.00,-1.97727350E-3,
5900.00,1.23276014E-3,
6000.00,-4.64834957E-5,
6100.00,7.08570937E-3,
6200.00,-6.91123540E-4,
6300.00,-5.57954008E-5,
6400.00,-2.64466810E-3,
6500.00,5.92916389E-4,
6600.00,1.88071595E-3,
6700.00,1.23631489E-3,
6800.00,1.23276014E-3,
6900.00,3.82232619E-3,
7000.00,-1.34173641E-3,
7100.00,1.87999418E-3,
7200.00,-7.19749893E-4,
7300.00,5.82091685E-4,
7400.00,4.47512511E-3,
7500.00,5.88605762E-4,
7600.00,6.41844794E-3,
7700.00,5.79907268E-4,
7800.00,5.88605937E-4,
7900.00,3.82232619E-3,
8000.00,1.23511744E-3,
8100.00,-4.58900398E-3,
8200.00,-1.34173641E-3,
8300.00,8.34007561E-3,
8400.00,5.82140114E-4,
8500.00,3.17239366E-3,
8600.00,-3.24782263E-3,
8700.00,2.52612284E-3,
8800.00,-3.93754710E-3,
8900.00,3.81177338E-3,
9000.00,5.84269583E-4,
9100.00,-5.58433749E-5,
9200.00,-1.33167498E-3,
9300.00,3.81967612E-3,
9400.00,-1.35180936E-3,
9500.00,-7.11509841E-4,
9600.00,5.92916389E-4,
9700.00,4.46067099E-3,
9800.00,4.46067099E-3,
9900.00,-1.97732123E-3,
1E04,-1.33667432E-3,
1.01E04,5.82091860E-4,
1.02E04,5.97201404E-4,
1.03E04,1.23636285E-3,
1.04E04,2.52756616E-3,
1.05E04,-2.01330287E-3,
1.06E04,-1.35176128E-3,
1.07E04,-5.27302764E-5,
1.08E04,1.23034022E-3,
1.09E04,2.52679526E-3,
1.1E04,7.69824488E-3,
1.11E04,-4.54972731E-3,
1.12E04,-1.35180971E-3,
1.13E04,-3.29505303E-3,
1.14E04,-1.36698375E-3,
1.15E04,5.86489099E-4,
1.16E04,-6.20497667E-5,
1.17E04,-1.98926008E-3,
1.18E04,-4.57909238E-3,
1.19E04,3.16566066E-3,
1.2E04,-4.95781096E-5,
1.21E04,-5.57954008E-5,
1.22E04,1.87980058E-3,
1.23E04,3.16899316E-3,
1.24E04,-3.27920006E-3,
1.25E04,-1.33172306E-3,
1.26E04,-7.03319092E-4,
1.27E04,-1.34173641E-3,
1.28E04,1.23276014E-3,
1.29E04,1.23631489E-3,
1.3E04,-1.35176128E-3,
1.31E04,3.17741209E-3,
1.32E04,4.46071895E-3,
1.33E04,-6.83005550E-4,
1.34E04,3.16899316E-3,
1.35E04,-7.32153712E-4,
1.36E04,-3.91979935E-3,
1.37E04,-6.51907176E-5,
1.38E04,-2.61697685E-3,
1.39E04,1.88052421E-3,
1.4E04,1.88004249E-3,
1.41E04,5.90812415E-4,
1.42E04,-3.97345936E-3,
1.43E04,-7.47192098E-5,
1.44E04,5.79907268E-4,
1.45E04,2.53038178E-3,
1.46E04,2.52829096E-3,
1.47E04,2.52607465E-3,
1.48E04,-4.61872201E-3,
1.49E04,3.16737220E-3,
1.5E04,3.17239366E-3,
1.51E04,-7.11509841E-4,
1.52E04,1.88076403E-3,
1.53E04,-7.07408239E-4,
1.54E04,-7.07360159E-4,
1.55E04,-3.96436919E-3,
1.56E04,1.23511744E-3,
1.57E04,2.52824277E-3,
1.58E04,-5.58433749E-5,
1.59E04,3.81172542E-3,
1.6E04,-3.26348888E-3,
1.61E04,-6.95176655E-4,
1.62E04,-4.33498717E-5,
1.63E04,2.52824277E-3,
1.64E04,-2.01330334E-3,
1.65E04,1.88023550E-3,
1.66E04,-2.63075717E-3,
1.67E04,-1.36194285E-3,
1.68E04,1.23636285E-3,
1.69E04,-6.49801549E-3,
1.7E04,2.52679526E-3,
1.71E04,-6.87034684E-4,
1.72E04,-4.95302775E-5,
1.73E04,3.17066698E-3,
1.74E04,-6.20978826E-5,
1.75E04,-4.57909238E-3,
1.76E04,-7.11509841E-4,
1.77E04,-3.29505256E-3,
1.78E04,-7.11509841E-4,
1.79E04,-6.99241820E-4,
1.8E04,1.87975215E-3,
1.81E04,-4.03211961E-5,
1.82E04,1.23391638E-3,
1.83E04,-2.63070944E-3,
1.84E04,-1.35682046E-3,
1.85E04,-7.03270838E-4,
1.86E04,5.92916389E-4,
1.87E04,-2.64466810E-3,
1.88E04,-3.92865948E-3,
1.89E04,1.23506924E-3,
1.9E04,-1.97727350E-3,
1.91E04,1.88023550E-3,
1.92E04,-1.98318576E-3,
1.93E04,-3.31104849E-3,
1.94E04,1.23396458E-3,
1.95E04,1.23155199E-3,
1.96E04,5.90716314E-4,
